23:01:47 [ok] phys=5.92GB pf=20.26GB temp=71°C
23:01:51 [ok] phys=5.00GB pf=17.10GB temp=71°C
23:01:54 [ok] phys=4.74GB pf=16.61GB temp=71°C
23:01:57 [ok] phys=3.49GB pf=9.47GB temp=75°C
23:02:00 [ok] phys=3.50GB pf=9.49GB temp=76°C
23:02:04 [ok] phys=5.20GB pf=17.14GB temp=73°C
23:02:07 [ok] phys=4.10GB pf=11.80GB temp=73°C
23:02:10 [ok] phys=3.40GB pf=9.08GB temp=77°C
23:02:13 [ok] phys=3.40GB pf=9.07GB temp=74°C
23:02:16 [ok] phys=3.40GB pf=9.07GB temp=73°C
23:02:19 [ok] phys=3.44GB pf=9.12GB temp=73°C
23:02:22 [ok] phys=3.44GB pf=9.11GB temp=74°C
23:02:25 [ok] phys=3.46GB pf=9.13GB temp=74°C
23:02:28 [ok] phys=3.46GB pf=9.13GB temp=74°C
23:02:31 [ok] phys=3.45GB pf=9.13GB temp=79°C
23:02:34 [ok] phys=3.46GB pf=9.13GB temp=75°C
23:02:37 [ok] phys=3.45GB pf=9.12GB temp=74°C
23:02:40 [ok] phys=3.44GB pf=9.12GB temp=74°C
23:02:43 [ok] phys=3.44GB pf=9.12GB temp=77°C
23:02:46 [ok] phys=3.44GB pf=9.11GB temp=75°C
23:02:49 [ok] phys=3.44GB pf=9.12GB temp=74°C
23:02:53 [ok] phys=3.43GB pf=9.11GB temp=76°C
23:02:56 [ok] phys=3.44GB pf=9.11GB temp=75°C
23:02:59 [ok] phys=3.43GB pf=9.11GB temp=75°C
23:03:02 [ok] phys=3.44GB pf=9.12GB temp=74°C
23:03:05 [ok] phys=3.43GB pf=9.10GB temp=78°C
23:03:08 [ok] phys=3.43GB pf=9.11GB temp=75°C
23:03:11 [ok] phys=3.43GB pf=9.11GB temp=75°C
23:03:14 [ok] phys=3.43GB pf=9.10GB temp=75°C
23:03:17 [ok] phys=3.45GB pf=9.13GB temp=79°C
23:03:20 [ok] phys=3.45GB pf=9.13GB temp=76°C
23:03:23 [ok] phys=3.46GB pf=9.13GB temp=75°C
23:03:26 [ok] phys=3.48GB pf=9.13GB temp=75°C
23:03:29 [ok] phys=3.47GB pf=9.13GB temp=76°C
23:03:32 [ok] phys=3.47GB pf=9.14GB temp=75°C
23:03:35 [ok] phys=3.47GB pf=9.13GB temp=75°C
23:03:38 [ok] phys=3.45GB pf=9.12GB temp=75°C
23:03:41 [ok] phys=3.45GB pf=9.12GB temp=76°C
23:03:44 [ok] phys=3.46GB pf=9.13GB temp=75°C
23:03:47 [ok] phys=3.45GB pf=9.12GB temp=75°C
23:03:50 [ok] phys=3.44GB pf=9.12GB temp=75°C
23:03:53 [ok] phys=3.44GB pf=9.11GB temp=76°C
23:03:56 [ok] phys=3.44GB pf=9.11GB temp=76°C
