scene,Or1_psnr,Or2_psnr
conf_cone_r04_d12,28.469895096114456,13.127530347369339
conf_cube_axis,31.407074038467616,15.592255783559146
conf_cube_plus_cone,28.216516603477707,13.775734877281899
conf_cyl_plus_sphere,26.170340460100427,13.295887334707821
conf_cylinder_r03_d12,28.076383188223318,13.407996234305765
conf_cylinder_r06_d06,28.34169029617456,13.850081449673688
conf_egg,26.718706436251836,13.550961213849224
conf_ellipsoid_x13z07,26.24057954433527,13.068724457349903
conf_ellipsoid_z06,26.70278041037919,14.033835718646241
conf_hemisphere_sq,26.693140323092436,13.945568498870848
conf_icosphere_sub3,26.759718599860904,13.882059317867432
conf_prism8,30.406439292569402,14.233701774474428
conf_snowman,25.552292153686594,13.473052703384162
conf_sphere_on_cube,26.206401541183165,13.649054157627727
conf_sphere_r05,26.730603269580243,13.893238833441949
conf_torus_R05_r02,26.7319648451935,13.939910980260251
conf_torus_R06_r035,26.706195629121357,13.928600596588435
conf_two_spheres_row,25.06172267384965,12.7866461295659
