scene,kind,mean_si_psnr,min_si_psnr,median_si_psnr,mean_mae,mean_mae_unnorm
cube,Or1_mesh,32.14031566975978,9.146605159515541,16.663109655461366,0.07895313518243069,
cube,Or2_depth,31.863363843170642,10.400511725709956,16.58462761481337,0.06762656103541412,
cylinder,Or1_mesh,18.706909666436484,6.600986526428891,13.472244892008412,0.15255503905321519,
cylinder,Or2_depth,17.08790151815149,4.14845728378168,11.679627848295372,0.2054288811313874,
hemisphere,Or1_mesh,19.06658562228091,5.478819730588491,14.05947248716397,0.14858715801483596,
hemisphere,Or2_depth,18.515563925753035,4.881063041802066,13.603404862533306,0.162999768901826,
plane,Or1_mesh,nan,nan,nan,nan,
plane,Or2_depth,nan,nan,nan,nan,
sphere,Or1_mesh,19.067657072148336,5.4991512228003945,14.122042688530664,0.1478788245856658,
sphere,Or2_depth,18.51990859111448,4.898838126883095,13.653679797134608,0.16202429883913966,
