scene,N,lambda_min,lambda_max,condition_number,effective_rank,log_det,ev_top3,ev_bot3
cube,1,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,2,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,3,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,5,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,8,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,15,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cube,24,-2.8135711450368814e-13,734.08598311149,734085983111490.0,3,-69.07755278982137,"[734.08598311149, 169.83330364952567, 1.8351947755601559]","[2.0835103157054166e-13, 3.760285197451955e-14, -2.8135711450368814e-13]"
cylinder,1,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,2,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,3,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,5,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,8,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,15,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
cylinder,24,-5.871701068619641e-14,593.0917731529386,593091773152938.6,4,-69.07755278982137,"[593.0917731529386, 252.92479394845628, 51.8809079655045]","[3.086774968790962e-13, 8.119739988830156e-14, -5.871701068619641e-14]"
hemisphere,1,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,2,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,3,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,5,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,8,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,15,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
hemisphere,24,0.033685771305293474,454.26350358377556,13485.322911765756,8,24.077672527717784,"[454.26350358377556, 180.15280005273345, 175.288893462012]","[1.5236195056615964, 1.5047964261872582, 0.033685771305293474]"
plane,1,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,2,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,3,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,5,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,8,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,15,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
plane,24,0.0,0.0,inf,0,-69.07755278982137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
sphere,1,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,2,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,3,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,5,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,8,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,15,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
sphere,24,0.03351953553189175,456.1635303699012,13608.885777545755,8,24.01695567701749,"[456.1635303699012, 178.65311931319542, 175.75613422189664]","[1.539421436859393, 1.459984077073558, 0.03351953553189175]"
