scene,N,subset,solver_final_loss,solver_grad_norm,solver_tail_range,solver_restart,solver_iters,solver_si_mae_A,solver_ho_psnr,solver_success_asrecorded,solver_converged_asrecorded,score_P,score_cutoff,score_path,score_full_lam_min_pos_norm,score_full_lam_max_norm,score_full_logdet_pos_norm,score_full_a_opt_pos_norm,score_full_d_pos,score_full_trace,score_full_min_eig,score_full_gauge_residual,score_full_offdiag_max,score_rank_Fk_min,score_active_frac_min,score_boundary_frac_max,scores_matched
conf_cone_r04_d12,3,"0,5,7",0.00017691456014290452,0.0005439227174148575,nan,0,1400,0.007293252274394035,33.29955497472598,0,0,1000,1e-08,dense,4.292502088569139e-08,0.0013422216494790595,-6.987966351203826,29491.974006280085,997,1388.901366590753,1.8168867328329997e-10,8.27952947956979e-06,0.40583425090976116,7,0.905,0.0,1
conf_cone_r04_d12,3,"0,6,11",0.00013221416156738997,0.0005228343699126283,nan,0,1400,0.008289013989269733,33.017346244607744,0,0,1000,1e-08,dense,1.0045343123950252e-08,0.0014248780361918016,-7.025456424002128,113611.73250530075,997,631.4827464656273,1.7573166402807348e-10,7.287975880070114e-06,0.19429749012171932,7,0.528,0.0,1
conf_cone_r04_d12,3,"1,10,18",0.00013610091991722584,0.0005533985125213682,nan,0,1400,0.007055200636386871,18.755777118774297,0,0,1000,1e-08,dense,1.178394987486043e-08,0.001632836681591719,-7.1962962495593485,130028.06554841611,998,1074.649383168227,-8.621248970105947e-10,2.0846731225098853e-06,0.625140976601213,8,0.51,0.0,1
conf_cone_r04_d12,3,"1,12,26",0.00011981817078776658,0.0005339587088128703,nan,0,1400,0.007146794814616442,17.470880121615732,0,0,1000,1e-08,dense,8.182906021230597e-07,0.0021432620783017574,-7.459565498202673,14333.1314029779,996,608.9499754161587,-5.68861644834004e-10,2.7140644442706704e-06,0.2973657439700088,7,0.48,0.0,1
conf_cone_r04_d12,3,"2,21,30",0.00014328010729514062,0.0005479027771342765,nan,0,1400,0.006624511908739805,17.897564940441534,0,0,1000,1e-08,dense,1.7065846344314628e-07,0.0017859549411690797,-7.277342285529503,9600.52941051172,997,859.5755052914192,-7.247217714547398e-10,2.884110077657063e-06,0.3087128870006755,7,0.727,0.0,1
conf_cone_r04_d12,3,"3,12,18",0.00012856500688940287,0.000541834753137296,nan,0,1400,0.0074537149630486965,17.91732426371392,0,0,1000,1e-08,dense,3.522791592815604e-08,0.0016052207106003573,-7.2740423556637746,53138.3637051275,997,754.0488671188183,-7.140334785016794e-11,4.125324738944704e-06,0.2773393314929473,7,0.565,0.0,1
conf_cone_r04_d12,3,"3,13,28",0.00015570031246170402,0.0005294436963499374,nan,0,1400,0.0076946173794567585,18.340949246742618,0,0,1000,1e-08,dense,1.3726210149935268e-07,0.001523260016079179,-7.146460376016393,13528.782280401463,997,1034.4931340351661,1.539186973052982e-11,1.607722565614786e-05,0.23195620351637697,7,0.89,0.0,1
conf_cone_r04_d12,3,"4,13,16",0.00015982001787051558,0.0005243317281661058,nan,0,1400,0.00804495345801115,18.324105409897765,0,0,1000,1e-08,dense,7.43849423679046e-08,0.0014923361293735459,-7.12699911245856,27217.088063529787,998,916.7119959560482,3.228385492737724e-10,4.644024483655333e-06,0.4140523842756552,8,0.513,0.0,1
conf_cone_r04_d12,3,"4,13,17",0.00013446353841573,0.0005485364214744671,nan,0,1400,0.007208297029137611,18.519440626403867,0,0,1000,1e-08,dense,5.618756365706838e-08,0.0016552345057008462,-7.1365094514331835,29221.885828012422,998,715.5560587390167,6.159394831132361e-10,3.6674123683469956e-07,0.20768463528505887,8,0.534,0.0,1
conf_cone_r04_d12,3,"5,12,29",0.0001654693332966417,0.000546088555497838,nan,0,1400,0.006970877293497324,18.987883333826453,0,0,1000,1e-08,dense,1.9132452715751854e-07,0.001383000590432973,-7.044457769258282,7201.325996220217,996,1110.330861737325,-1.1607329778275268e-10,3.5253933657957545e-06,0.2541274660526758,7,0.576,0.0,1
conf_cone_r04_d12,3,"6,16,23",0.00013167501310817897,0.00047264834426747455,nan,0,1400,0.008086776360869408,16.57933988332111,0,0,1000,1e-08,dense,3.308009429606974e-08,0.001962680134011782,-7.525074587042242,127780.31435607406,993,660.5130050676875,-8.11329943236234e-16,1.846712749685208e-05,0.2550873990157856,7,0.515,0.0,1
conf_cone_r04_d12,3,"6,19,25",9.801337728276849e-05,0.00037269489044992963,nan,0,1400,0.014394470490515232,13.245344441609907,0,0,1000,1e-08,dense,1.7151289954149986e-08,0.005819852155687725,-8.26568550370878,296299.4362126487,795,202.0254689095109,-3.308250880346436e-16,4.79309244530577e-06,0.1274314479873434,7,0.508,0.0,1
conf_cone_r04_d12,3,"6,25,26",0.00012042751768603921,0.0005365418945634149,nan,0,1400,0.006926784757524729,17.683781122247787,0,0,1000,1e-08,dense,2.6951793602366712e-08,0.002169885648721645,-7.5269962347268144,107153.38959441696,996,703.8694924650835,5.867486089526449e-10,2.8823053738780016e-06,0.4308867260208501,7,0.517,0.0,1
conf_cone_r04_d12,3,"8,19,27",0.0001404222275596112,0.0005204003793487712,nan,0,1400,0.007249581627547741,17.30808529685426,0,0,1000,1e-08,dense,1.6402187022488702e-08,0.001442980567852242,-7.123917906668831,79041.4440213282,997,568.1040236983608,-4.5654766117572026e-10,8.062614151496098e-06,0.17936116281403836,7,0.752,0.0,1
conf_cone_r04_d12,3,"9,21,31",0.00014587065379600972,0.0004995385943838614,nan,0,1400,0.008103860542178154,17.891051852629566,0,0,1000,1e-08,dense,1.7711889860965128e-08,0.0018741985236044821,-7.4364219476727085,65445.66390609241,997,943.8024716474421,-8.373012093971409e-10,2.0770542472313227e-06,0.1744387646333685,8,0.564,0.0,1
conf_cone_r04_d12,3,"9,27,28",0.00010821108298841864,0.0004864578583824927,nan,0,1400,0.006636316888034344,14.670071356110583,0,0,1000,1e-08,dense,2.6424484775483318e-08,0.0040623186549951056,-8.314007043135272,81898.79642747258,997,435.0470813237639,8.115829805658536e-12,6.613544745344752e-06,0.1599827778368927,7,0.558,0.0,1
