scene,P_full,K,normal_cov_eig1,normal_cov_eig2,normal_cov_eig3,normal_cov_trace,normal_cov_anisotropy,normal_cov_eff_rank,normal_2ndmoment_eig1,normal_2ndmoment_eig2,normal_2ndmoment_eig3,sh_gram_eig1,sh_gram_eig2,sh_gram_eig3,sh_gram_eig4,sh_gram_eig5,sh_gram_eig6,sh_gram_eig7,sh_gram_eig8,sh_gram_eig9,sh_gram_trace,sh_gram_min_over_max,sh_gram_logdet,sh_gram_rank_1em8,sh_gram_eff_rank,sh_gram_a2_eig1,sh_gram_a2_eig2,sh_gram_a2_eig3,sh_gram_a2_eig4,sh_gram_a2_eig5,sh_gram_a2_eig6,sh_gram_a2_eig7,sh_gram_a2_eig8,sh_gram_a2_eig9,sh_gram_a2_min_over_max,sh_gram_a2_rank_1em8,Fk_rank_min_allK,Fk_rank_median_allK,Fk_rank_max_allK,Fk_rank_lt9_frac,active_frac_min_allK,active_frac_median_allK,albedo_min,albedo_median
conf_cone_r04_d12,2906,32,0.25228172540664673,0.030472125858068466,2.339324737477e-06,0.28275617957115173,107843.8203125,1.2381188869476318,0.7435991168022156,0.25228166580200195,0.004119332879781723,0.449886292219162,0.21240876615047455,0.04947718232870102,0.004331442527472973,9.150999539997429e-05,2.7428091016190592e-06,3.6395562119651004e-07,1.44626952192084e-07,6.065170765623407e-08,0.7161985039710999,1.3481563598816138e-07,-80.09515380859375,9,2.0519094467163086,412.5298446448446,191.66124353032964,42.86189647999753,3.5954915335419493,0.07447189732765214,0.0018429427780197209,0.0002441068905224537,5.724062621720407e-06,5.7867196836021275e-08,1.4027396462876602e-10,8,7,8.0,8,1.0,0.49587061252580866,0.9148313833448039,0.3864295482635498,0.5647116303443909
conf_cube_axis,13406,32,0.32087060809135437,0.0005623680190183222,6.323506600625748e-17,0.3214329779148102,5074250994024448.0,1.0035053491592407,0.7965154051780701,0.2034846991300583,7.849008968163803e-17,0.5744337439537048,0.1398259997367859,0.0019372320966795087,9.368619657834643e-07,3.543233040304017e-09,1.5782447268834158e-17,1.7334820846725181e-19,-4.173584646912726e-16,-2.748087126747123e-07,0.7161976099014282,-4.783993290402577e-07,-inf,4,1.467514157295227,2437.0020995443083,588.9337476349165,8.235036499859518,0.00485634504048284,3.2396084508650755e-05,2.3996924846435334e-13,1.1447910228306958e-14,-1.2199670209141337e-15,-9.83495627345651e-13,-4.035678211067416e-16,5,2,5.0,5,1.0,0.2015515440847382,1.0,0.3864295482635498,0.5647116303443909
conf_cube_plus_cone,4891,32,0.3682573735713959,0.026012182235717773,0.004320481792092323,0.3985900282859802,85.23526000976562,1.165544867515564,0.7010488510131836,0.2730117440223694,0.02593948319554329,0.48956069350242615,0.17953135073184967,0.03289228677749634,0.010686387307941914,0.0031974785961210728,0.00025846913922578096,6.115395808592439e-05,8.450167115370277e-06,1.8295663721801247e-06,0.7161981463432312,3.7371594316937262e-06,-58.98595428466797,9,1.8781604766845703,752.2170277162996,274.2665462788913,50.70069690897719,15.787991711317362,4.687151043002041,0.3687494015940459,0.08654014860729013,0.01284875848677442,0.001958842479183351,2.6040921795273863e-06,9,9,9.0,9,0.0,0.2919648333674095,0.9925373134328358,0.37626221776008606,0.5647116303443909
conf_cyl_plus_sphere,3722,32,0.25568270683288574,0.05190243199467659,0.03201159089803696,0.3395967483520508,7.987191677093506,1.669158935546875,0.6926909685134888,0.25568288564682007,0.0516270212829113,0.40051180124282837,0.1979243904352188,0.05208524689078331,0.04519173502922058,0.010641846805810928,0.0060290140099823475,0.003394604893401265,0.0003570752451196313,6.296796345850453e-05,0.7161986231803894,0.00015721874660812318,-41.536746978759766,9,2.5082640647888184,471.4160074399017,229.259904476813,57.423134057922,52.05593125435017,12.189220872231832,6.951357709806156,3.4466630107148504,0.39699629562960687,0.06301362374106981,0.00013366882487354459,9,9,9.0,9,0.0,0.4016657710908114,0.9089199355185384,0.3712378144264221,0.5647116303443909
conf_cylinder_r03_d12,4080,32,0.256024569272995,0.026417627930641174,7.218447599027854e-16,0.28244221210479736,354680915886080.0,1.204194188117981,0.7439754009246826,0.2560248076915741,1.1926951286884003e-15,0.45067334175109863,0.21371592581272125,0.049237776547670364,0.002526355441659689,4.4938482460565865e-05,1.9643759685550322e-07,6.879756181112301e-16,2.5763422945113764e-16,1.7457319264409078e-17,0.7161985039710999,3.8736080609915136e-17,-146.17987060546875,6,2.0418646335601807,580.819163653235,275.22592887092725,63.155357273255454,3.2330975312747503,0.05748895425072239,8.589053025172241e-13,3.2566232113268994e-13,2.3481287665723968e-14,-8.00734502967312e-13,-1.3786296201572517e-15,5,5,5.0,5,1.0,0.35294117647058826,0.9323529411764706,0.4125426709651947,0.5647116303443909
conf_cylinder_r06_d06,5084,32,0.20299215614795685,0.016882052645087242,3.43893179593539e-16,0.21987420320510864,590276749950976.0,1.1651893854141235,0.7970072031021118,0.2029922753572464,3.9830159980659013e-16,0.4938054084777832,0.18887147307395935,0.03220402076840401,0.001297780661843717,1.961846646736376e-05,2.458224912516016e-07,2.3120465744465573e-16,3.676457172051135e-17,1.3006415898216396e-17,0.7161985635757446,2.6339152893723737e-17,-151.23907470703125,6,1.828305959701538,793.3393429033699,302.3753563137749,51.419336681080544,2.0642161938843007,0.03134571290954224,3.4117641987807793e-13,4.7456673019179316e-14,-7.573826326306263e-15,-6.582763946684645e-12,-8.297538758879423e-15,5,5,5.0,5,1.0,0.32297403619197484,0.9647915027537373,0.3864295482635498,0.5647116303443909
conf_egg,4156,32,0.20796392858028412,0.12307509779930115,0.025761906057596207,0.35680091381073,8.07253646850586,2.1555464267730713,0.6689613461494446,0.20796358585357666,0.12307508289813995,0.3680989742279053,0.16654625535011292,0.106855608522892,0.03425239771604538,0.022832773625850677,0.014618218876421452,0.002004276029765606,0.0009522438631393015,3.771758565562777e-05,0.7161985039710999,0.00010246587771689519,-39.761749267578125,9,2.9050943851470947,484.7799443782219,216.96953756994705,139.34090232738058,43.003567540347994,29.070436744203235,18.451886092965918,2.3967054512843338,1.153458727752876,0.043733761042480945,9.021363517538624e-05,9,9,9.0,9,0.0,0.4788257940327238,0.8940086621751684,0.3564002513885498,0.5647116303443909
conf_ellipsoid_x13z07,2750,32,0.30438026785850525,0.1643143743276596,0.037029240280389786,0.5057238936424255,8.21999740600586,2.1133816242218018,0.5337056517601013,0.30438026785850525,0.1619141697883606,0.2700621783733368,0.20007723569869995,0.11858730018138885,0.0600033663213253,0.039079293608665466,0.02250911295413971,0.0040302942506968975,0.0017676928546279669,8.175714901881292e-05,0.7161982655525208,0.0003027345519512892,-36.16336441040039,9,3.865962028503418,235.17684191349645,172.47474821419337,102.38415266832459,50.260127138008244,32.87098148339231,18.947170095482573,3.242290704978538,1.431288448753833,0.06424821173426595,0.0002731910642711069,9,9,9.0,9,0.0,0.5443636363636364,0.8703636363636363,0.3712378144264221,0.5647116303443909
conf_ellipsoid_z06,3704,32,0.29710865020751953,0.14294619858264923,0.03454934060573578,0.47460418939590454,8.599546432495117,2.049567461013794,0.5599452257156372,0.2971087396144867,0.14294621348381042,0.2863280773162842,0.20350925624370575,0.11210247129201889,0.05771265923976898,0.033715661615133286,0.017816906794905663,0.003622073447331786,0.0013233006466180086,6.78150900057517e-05,0.7161982655525208,0.0002368440036661923,-37.147743225097656,9,3.643904685974121,335.9537343809502,236.62213224770716,130.61487225998803,65.31388675028677,38.52367521152452,20.358651225998166,3.952425699339087,1.4653016912230243,0.07228620617295173,0.00021516714587546082,9,9,9.0,9,0.0,0.4419546436285097,0.8519168466522677,0.3712378144264221,0.5647116303443909
conf_hemisphere_sq,4610,32,0.236301988363266,0.15576916933059692,0.028795935213565826,0.42086708545684814,8.206088066101074,2.18861985206604,0.6079289317131042,0.23630201816558838,0.15576909482479095,0.3180353045463562,0.17771674692630768,0.12569120526313782,0.04020373523235321,0.030479390174150467,0.020371446385979652,0.00233506434597075,0.0013192499754950404,4.6190143621061e-05,0.7161983251571655,0.00014523589925374836,-38.218360900878906,9,3.3858437538146973,464.54404318523115,257.502219006749,182.0329999549931,57.019995560549496,43.22658730474038,28.781628360152204,3.198163344349281,1.7989259451828687,0.0614173795876842,0.00013221002505287705,9,9,9.0,9,0.0,0.44273318872017353,0.875704989154013,0.36625269055366516,0.5647116303443909
