scene,N,subset,P,pixel_seed,cutoff,trace,eig_norm_q0,eig_norm_q0.1,eig_norm_q0.5,eig_norm_q1,eig_norm_q2,eig_norm_q5,eig_norm_q10,eig_norm_q25,eig_norm_q50,eig_norm_q75,eig_norm_q90,eig_norm_q95,eig_norm_q99,eig_norm_q100,n_above_0e+00,n_above_1e-12,n_above_1e-10,n_above_1e-09,n_above_1e-08,n_above_1e-07,n_above_1e-06,n_above_1e-05,n_above_1e-04,n_negative,eig_raw_min,eig_raw_max,neg_mass_over_trace,logdet_pos_mean_log,eig_norm_geomean_pos,eff_rank_entropy,participation_ratio,cond_p1_p99,gauge_residual,rank_Fk_min,rank_Fk_max,rank_Fk_mean,Fk_eigmax_min,Fk_minpos_min,active_frac_min,active_frac_mean,boundary_frac_max,F_ss_diag_min,F_ss_diag_median,n_dead_pixels
conf_cone_r04_d12,3,"3,13,28",1000,390846948,1e-08,1034.4931340351661,1.4878658179674873e-14,3.6876695505723586e-13,1.5949861478925193e-05,3.267852670326832e-05,5.713995722583139e-05,0.00010816523088707631,0.00021332008932464615,0.0006178147641122404,0.001133419804632994,0.0014382391694913903,0.001506216595594076,0.001514715431387695,0.0015231841860178787,0.001523260016079179,1000,998,998,997,997,997,995,995,953,0,1.539186973052982e-11,1.5758020279842075,0.0,-7.206334750859944,0.0007418713216002767,864.6255685161545,813.9087089488978,46.61116456836894,1.607722565614786e-05,7,7,7.0,442.40888201175994,5.4838916481016876e-05,0.89,0.9633333333333334,0.0,0.021862391320755483,1.1838713358588846,0
conf_cone_r04_d12,3,"5,12,29",1000,1117501134,1e-08,1110.330861737325,-1.0453937811035335e-13,1.545729028014751e-13,2.123564498003332e-06,8.257901191866038e-05,0.00012721127951968676,0.00022082832319167978,0.0003390387137755297,0.0007365665736420523,0.0011555149159600028,0.0013314705744347933,0.0013736972406510125,0.0013820577840792819,0.0013826836326698896,0.001383000590432973,999,998,998,997,996,996,995,994,985,1,-1.1607329778275268e-10,1.5355882373586722,1.0453937811035335e-13,-7.093815993456244,0.0008302231868875147,908.7119305303412,867.5067562402586,16.74376576498422,3.5253933657957545e-06,7,8,7.666666666666667,335.96396646574885,5.79863373153969e-06,0.576,0.85,0.0,0.08747013296152087,1.2848412191092238,0
conf_cone_r04_d12,3,"3,12,18",1000,455256121,1e-08,754.0488671188183,-9.469326321382385e-14,2.3647466010222543e-12,3.061583455171058e-07,8.109870874942996e-06,1.689328855870195e-05,4.713745394675004e-05,0.00014238546625340814,0.0005222452487093866,0.0011102001546210735,0.0015597557768676216,0.0015953904806460498,0.001602182713580284,0.0016049624979631617,0.0016052207106003573,999,999,998,998,997,995,994,988,918,1,-7.140334785016794e-11,1.2104148583038639,9.469326321382385e-14,-7.305222976090467,0.0006720196504749438,821.8242951897915,765.0463478195578,197.90234921273552,4.125324738944704e-06,7,8,7.666666666666667,331.289054317965,6.3599277858892925e-06,0.565,0.855,0.0,0.005188145293031815,0.8371451688671598,0
conf_cone_r04_d12,3,"11,16,21",1000,481171505,1e-08,771.2562718375834,1.8645380207730644e-13,7.619085052765621e-13,2.3958514284104e-07,1.90364920321445e-06,6.139215449204728e-06,3.8371907773598095e-05,0.00011042840635151462,0.0005016945906849994,0.0011709802846739158,0.0015438956767558863,0.0016676893048503947,0.0016928575931336003,0.001698958276297805,0.0016989582762978084,1000,998,998,997,997,996,992,970,908,0,1.4380366426008604e-10,1.3103322261850547,0.0,-7.3966835547339205,0.000613283312701035,811.8556059969917,755.2311557015244,892.4744503498808,3.3540756324051544e-06,7,8,7.666666666666667,442.8897625343554,5.255917981861403e-06,0.908,0.9686666666666667,0.0,0.000452397866421236,0.9031258887529175,0
conf_cone_r04_d12,3,"11,23,27",1000,1191654363,1e-08,578.7715007819781,-4.018977937093751e-15,-4.436050276267232e-18,1.803902117760899e-19,5.499594208829222e-11,5.148646340246061e-08,2.323196160285909e-06,1.8483021294533766e-05,0.00017016302271943688,0.0006799304346133232,0.0017949042510528512,0.0024138088294067303,0.0024757801216100544,0.002516418886076201,0.002517904263557974,996,991,989,988,983,976,963,919,792,4,-2.326069892261409e-12,1.4572912294447902,4.019586186093966e-15,-8.076016614581226,0.00031090703460195517,643.9783842855511,562.2654690562259,45756446.576299444,2.712885713421802e-06,7,8,7.333333333333333,394.1590971415939,5.247633667975756e-06,0.736,0.8729999999999999,0.0,0.0,0.44776441340093087,6
conf_cone_r04_d12,3,"16,21,24",1000,545970953,1e-08,907.5837868657197,-1.365929535876031e-12,4.0519081874875356e-13,2.2875269065806257e-07,1.2236272419448306e-06,3.3722277244872657e-06,2.583877651105014e-05,0.00010017662166308765,0.0004479329013623843,0.0011080245999141787,0.0015515924427677882,0.0017024711521812625,0.0017198218633709462,0.0017252552612199532,0.0017261147682003306,999,998,998,997,997,995,990,968,900,1,-1.2396955007621032e-09,1.5665937778881,1.365929535876031e-12,-7.417883587522339,0.0006004185350439432,799.6096385001708,741.7901374575297,1409.9516601786636,6.949171961093839e-06,8,8,8.0,447.2045014857587,4.724636971528234e-06,0.932,0.9753333333333334,0.0,0.0003475484380759288,1.0056251623304842,0
conf_cone_r04_d12,3,"27,30,31",1000,1934242242,1e-08,689.2222410397404,-2.9921408403457194e-13,-3.032780365809923e-16,-2.800495486695375e-19,1.0877881075797732e-09,3.023746953805356e-08,1.1999616101565878e-06,1.2193582565542876e-05,0.0001326039300142144,0.0005819742851733006,0.001779704367328853,0.00269973140163543,0.0029636914903546975,0.0030548298844514164,0.0030584134235251623,994,993,990,990,985,970,951,911,775,6,-2.062250015489609e-10,2.107926553788037,2.9922232005578223e-13,-8.103619920636387,0.00030244233685336973,604.3438780973247,511.2096899445058,2808294.9824190736,2.503742917670778e-06,7,8,7.333333333333333,398.2199455073011,5.4163813787043125e-06,0.74,0.8206666666666665,0.0,0.0,0.526482167681857,5
conf_cone_r04_d12,3,"6,19,25",1000,833832838,1e-08,202.0254689095109,-1.6375414932600567e-18,-1.345895520032235e-18,-1.012462305836214e-18,-7.827386673179494e-19,-4.709144582451436e-19,-7.644151102008254e-20,-7.320342346071582e-53,1.5593098584584253e-06,0.0001560934661659754,0.0015188750006739566,0.003557699234551494,0.004532602421182662,0.005600249326782859,0.005819852155687725,898,803,800,797,795,789,771,708,559,101,-3.308250880346436e-16,1.1757583607368405,2.512056288890974e-17,-13.194875483652572,1.860108974243245e-06,385.62046974449885,311.0503565316032,5.600249326782859e+297,4.79309244530577e-06,7,7,7.0,302.63386889854803,2.8408854757323253e-05,0.508,0.6726666666666666,0.0,0.0,0.03153485569589208,195
conf_cone_r04_d12,3,"0,5,7",1000,35302897,1e-08,1388.901366590753,1.3081466953213496e-13,3.5721245093807057e-12,3.4563675813957385e-06,0.00019891134869750131,0.000264297857009943,0.00043802385081494715,0.0005689303529347484,0.0007727247519480155,0.0010774292422146324,0.0012766322051197601,0.0013313317954982615,0.0013402749064696635,0.0013422216494790567,0.0013422216494790595,1000,999,998,998,997,996,995,994,992,0,1.8168867328329997e-10,1.8642134832291604,0.0,-7.042989817629253,0.0008735110155691122,945.4548584308036,913.3695209897337,6.747838463054559,8.27952947956979e-06,7,8,7.666666666666667,446.3544293503966,6.434902742951688e-06,0.905,0.9683333333333334,0.0,0.24845269634416334,1.5016761620126489,0
conf_cone_r04_d12,3,"1,10,18",1000,1842434421,1e-08,1074.649383168227,-8.022383025698314e-13,5.8949721464175804e-12,1.1799406038790905e-06,2.23964781098702e-05,3.5753831209670736e-05,0.00010399077170298226,0.0001887141547358792,0.0005810117112676797,0.001129041014440152,0.0014737544316069436,0.0015990684199779634,0.0016176674770273182,0.0016213719045362683,0.001632836681591719,999,999,998,998,998,996,995,992,951,1,-8.621248970105947e-10,1.7547269326869954,8.022383025698314e-13,-7.214974416203695,0.0007354894101406263,848.5979284831143,791.4281852623761,72.39405662722142,2.0846731225098853e-06,8,8,8.0,183.06791344306467,1.8348237345319321e-06,0.51,0.8366666666666666,0.0,0.02237794666174113,1.2194440205229702,0
conf_cone_r04_d12,3,"20,26,31",1000,437497300,1e-08,1192.3177538826076,1.6211362269604873e-13,1.1926214556270775e-12,1.029881368165591e-08,2.2313325152216437e-07,1.107607446684187e-06,9.01759447847302e-06,3.724938261146392e-05,0.00025653226806997785,0.0010178424282329059,0.00177205375088817,0.0020989615214882947,0.0021446310912602573,0.0021517965918882095,0.0021535177662232157,1000,999,997,997,995,991,980,947,835,0,1.9329095048672533e-10,2.5676774659695547,0.0,-7.741450654412995,0.00043444089413901995,702.273426163343,627.3630446892897,9643.549660165581,4.761638565491415e-06,7,8,7.666666666666667,408.56465282870136,5.639621520615211e-06,0.789,0.92,0.0,2.5914356812191e-06,1.2135915978370844,0
