P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
1000,3,1e-08,dense,1.8221161910728257e-05,0.0019226001275049712,-6.914108687222233,1061.661610212232,997,809.3596775459268,-8.072636386721476e-12,1.663303198578766e-05,0.21401430347674671,4,1.0,0.0,0.0009464793340894787,-6.913228657917487,1010.249509834845,1.0,cube,"5,10,18",cap1000_cut1e-8
1000,3,1e-08,dense,0.0004435922942863866,0.0033140018413195414,-7.31792240304461,1857.575673415439,995,446.0444532838866,-5.8363669703419955e-09,1.271117825188064e-09,0.17873357880675214,5,1.0,0.0,0.00044301491583432655,-7.31855985213239,1856.7379854337075,1.0,cube,"11,15,26",cap1000_cut1e-8
1000,3,1e-08,dense,0.0007187160179052901,0.0020689977381244495,-7.013459262752233,1197.4894843891373,996,749.1792607046539,3.094304186721019e-14,7.605951425673587e-06,0.18900334156198992,4,0.219,0.0,0.0007177661196094427,-7.015917117735487,1199.3379538095805,1.0,cube,"8,22,25",cap1000_cut1e-8
1000,3,1e-08,dense,0.00021875898242798092,0.003933284887271181,-7.809148930329996,3636.6913169478853,996,445.8229229364295,-1.0694162768614127e-11,4.976937537454734e-06,0.1847784491033684,2,0.211,0.0,0.00021847034272881347,-7.808596115943056,3634.665877284466,1.0,cube,"12,22,29",cap1000_cut1e-8
1000,3,1e-08,dense,5.95143990320275e-06,0.0019511947979689742,-6.986011529351521,1303.83811980333,996,629.3403605954167,-2.3006843086873652e-11,3.241433287556545e-08,0.20347284409504096,4,0.205,0.0,0.0006391137614963961,-6.984573927858134,1139.359008462563,1.0,cube,"5,7,30",cap1000_cut1e-8
1000,3,1e-08,dense,8.418281916703676e-08,0.002279458852219095,-7.035908287430593,15956.49278059751,997,413.4820746704642,-2.708608925790423e-12,4.3776755833567385e-09,0.31257416935363413,5,1.0,0.0,0.0005902181087343547,-7.02156333368317,1206.8122065427663,1.0,cube,"2,10,18",cap1000_cut1e-8
1000,3,1e-08,dense,1.1548281531314199e-07,0.0016922841399111912,-6.936413525819156,10015.457203882961,997,654.8539761304884,-4.467409682268618e-11,2.7310215777718474e-08,0.4426818002535827,4,0.21,0.0,0.0007341007616344506,-6.9256173349325945,1033.4059560721255,1.0,cube,"8,11,14",cap1000_cut1e-8
1000,3,1e-08,dense,3.0926894595121017e-07,0.003883831891566644,-7.40886366799098,5284.433768562018,996,506.73845152633146,-8.820701840479513e-10,1.6681269935450136e-09,0.24732535737739048,5,1.0,0.0,0.00041188378485637015,-7.401245120541706,2038.5219502651112,1.0,cube,"19,24,26",cap1000_cut1e-8
1000,3,1e-08,dense,0.0008222301966610106,0.0016409300181153617,-6.94859301729867,1079.6782354923841,995,593.2139484577024,-3.587582407614768e-10,3.0971687040118698e-09,0.15048163563859457,2,0.22,0.0,0.0008211284687420413,-6.952486996534117,1082.8822361255852,1.0,cube,"5,12,17",cap1000_cut1e-8
1000,3,1e-08,dense,2.7990872523207403e-05,0.0047668263631235165,-5.4823331412201055,985.1865150892874,216,294.22874678500693,-1.120303849688753e-11,1.4554012156968545e-09,0.22302944129619104,2,0.212,0.0,2.0913760017916736e-05,-5.544274763088379,1567.7872768627496,0.22,cube,"14,17,20",cap1000_cut1e-8
1000,3,1e-08,dense,3.117606533365997e-08,0.0015626520652140918,-6.980408393168309,34786.66790953288,997,1214.027545778673,-5.9669214039606246e-12,1.1206039324772556e-08,0.8204576781430446,4,0.218,0.0,0.00035835989196741994,-6.968994965664833,1159.3877207602438,1.0,cube,"0,7,8",cap1000_cut1e-8
1000,3,1e-08,dense,8.005500368854487e-07,0.005440304997382364,-12.390259248837088,1013059.7980093258,994,270.70576285225883,-2.586434944919988e-10,1.1821713994117837e-09,0.2007796063610217,4,0.192,0.0,7.995281746345988e-07,-12.379143002000726,1010668.468760995,0.999,cube,"4,22,25",cap1000_cut1e-8
1000,3,1e-08,dense,1.7076157597595914e-07,0.001958709341855732,-6.985075462873612,7241.562092740486,997,590.3611302951488,-5.347830953051847e-10,3.242196496462535e-08,0.3468057919430394,4,0.183,0.0,0.0007605174265807805,-6.974168044387727,1119.0384270312852,1.0,cube,"13,14,15",cap1000_cut1e-8
1000,3,1e-08,dense,1.0054240670445947e-07,0.005411789414816838,-8.795533807588969,21745.616287194207,997,371.8256510082401,5.821356023626156e-13,2.7651583950622345e-08,0.495695341815966,4,0.188,0.0,7.00124659053003e-05,-8.781464303971095,11654.326576321455,1.0,cube,"22,23,27",cap1000_cut1e-8
1000,3,1e-08,dense,8.971825811259679e-06,0.004501221341027728,-8.070876017156937,5048.272765440691,996,352.7641878996502,-2.5527183325201454e-11,4.764590828513561e-08,0.39015344471056074,4,0.202,0.0,0.00014306212285613844,-8.066761281391722,4939.234782606399,1.0,cube,"7,24,25",cap1000_cut1e-8
1000,3,1e-08,dense,6.086933619190741e-06,0.0019988394698039337,-6.92926762999462,1197.4220521151271,997,717.3681340357302,-1.9187458517780834e-12,1.3242029308375677e-05,0.19791263801622205,3,0.991,0.0,0.0008915143393065809,-6.926962579009321,1035.7847232411239,1.0,cube,"4,13,18",cap1000_cut1e-8
1000,3,1e-08,dense,1.6148038247622126e-05,0.002276044253772524,-7.044851654512862,1308.0073869345592,997,765.7703062401281,2.4898461011067767e-12,9.383782239283571e-06,0.23868342742348542,4,0.206,0.0,0.0006881191681333576,-7.042753918152846,1248.2771401039302,1.0,cube,"13,24,25",cap1000_cut1e-8
1000,3,1e-08,dense,2.193363680572802e-06,0.0017021771142498338,-6.961854834831344,1549.1695461613062,996,602.5755061683159,-2.855917719010385e-09,3.555797044478188e-08,0.20270373676150225,3,0.218,0.0,0.000562373462201096,-6.959785795439247,1096.121610591763,1.0,cube,"5,14,17",cap1000_cut1e-8
1000,3,1e-08,dense,3.527433256049991e-06,0.0017574078487343756,-6.909926633728629,1281.226555977236,996,592.3157447800138,-1.646659614865458e-09,4.902741799773731e-09,0.3463689061314442,2,0.193,0.0,0.0006625363465910956,-6.908794498509531,1001.9357489707065,1.0,cube,"1,5,10",cap1000_cut1e-8
1000,3,1e-08,dense,1.3716200337277026e-05,0.0037674238032735026,-7.593696153692269,2758.5658302057486,996,362.2550581606343,-1.9505433688377813e-10,6.282198447372912e-08,0.33219370572266843,4,0.213,0.0,0.0003006021577163289,-7.591158169286788,2688.4117965737832,1.0,cube,"10,14,25",cap1000_cut1e-8
1000,5,1e-08,dense,0.00028165928186264745,0.003982725563166728,-7.649884161680587,2886.510839459954,995,766.2820956977116,-2.8079781861352603e-10,1.400658093968023e-09,0.6008597062677935,4,0.207,0.0,0.0002812934602744021,-7.650342510058725,2885.490965907381,1.0,cube,"16,19,20,25,30",cap1000_cut1e-8
1000,5,1e-08,dense,4.092103074950694e-05,0.001712892453760691,-6.940912291708662,1082.10534347422,997,1516.2386839676801,1.9098998278356326e-12,1.6273566530153636e-05,0.3632477851793207,4,1.0,0.0,0.0008524261182966417,-6.940468708497371,1060.667941251268,1.0,cube,"0,10,18,24,29",cap1000_cut1e-8
1000,5,1e-08,dense,0.00013310699406201388,0.004400490291478939,-8.190716036562934,5946.721785775401,995,586.4938882582577,-1.6076117264384545e-07,1.2194532345581518e-09,0.6397179820678355,2,0.203,0.0,0.00013293126221808715,-8.189172750106817,5938.589622881164,1.0,cube,"11,15,17,23,27",cap1000_cut1e-8
1000,5,1e-08,dense,2.3792844032732648e-07,0.001899156425257034,-6.995488795056865,5655.604593206913,997,1254.3299140588192,-1.6172530315670472e-09,2.2291883606199727e-09,0.3991090988803724,2,0.208,0.0,0.0005607110313122692,-6.985230471746158,1142.0394497270502,1.0,cube,"0,1,19,29,30",cap1000_cut1e-8
