P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
500,3,1e-08,dense,4.327440996256814e-05,0.0038553500195935213,-6.220855303148214,547.4599384005153,497,403.6144607724202,4.05343000050492e-14,1.8296021790973305e-05,0.40476657126762394,4,1.0,0.0,0.0014867587729638634,-6.21977185804877,504.9151376434973,1.0,cube,"5,10,18",cap500_cut1e-8
500,3,1e-08,dense,5.331869724579733e-05,0.007027323886835125,-6.6130392964523015,931.1737205071353,497,210.34922586425625,-6.601645302766262e-12,8.387320918104432e-06,0.6580410150185513,4,1.0,0.0,0.0009382490428726542,-6.608040417628497,895.2254392638179,1.0,cube,"11,15,26",cap500_cut1e-8
500,3,1e-08,dense,0.0014228749647778895,0.004096089345059819,-6.317362443912058,599.0555293801791,495,378.4219691685062,-5.388130921772949e-08,1.8012737969149028e-09,0.38031696697200335,4,0.236,0.0,0.00141903473192428,-6.324627267845728,602.1730084707436,1.0,cube,"8,22,25",cap500_cut1e-8
500,3,1e-08,dense,0.0004384624380722717,0.007883550768062814,-7.117727790925757,1821.1691834255598,496,222.43129753632732,-4.29998186357932e-10,3.4059764850123678e-06,0.24483479492027832,2,0.214,0.0,0.0004373080785408246,-7.11719419146799,1819.9935618514403,1.0,cube,"12,22,29",cap500_cut1e-8
500,3,1e-08,dense,0.0015303875007470923,0.0038528558418024937,-6.28597529127978,569.0464319879055,495,318.7156942324433,-1.9667549626750513e-11,4.393327857772618e-09,0.25612506899293275,4,0.226,0.0,0.00152629931444847,-6.293382281609686,572.1556972946478,1.0,cube,"5,7,30",cap500_cut1e-8
500,3,1e-08,dense,2.0288991748398928e-07,0.004437072049254576,-6.351344851910688,12498.00303830499,497,203.66327304546238,-1.6244157603001512e-10,5.0112744455668595e-09,0.35167829232511316,5,1.0,0.0,6.65150054324861e-05,-6.330203939701469,627.9757823493272,1.0,cube,"2,10,18",cap500_cut1e-8
500,3,1e-08,dense,0.0018198084578828094,0.0034334776792167843,-6.222457654463969,511.4237481882605,495,322.76283736208836,-2.6240633293859325e-12,3.342118836618842e-09,0.5540994761689039,4,0.194,0.0,0.001716738909978343,-6.230528776412922,514.7886034358427,1.0,cube,"8,11,14",cap500_cut1e-8
500,3,1e-08,dense,4.2375909926937766e-05,0.008147211484797655,-6.696493465336696,1031.820513201846,497,241.56571391247473,-1.8095853018399303e-13,7.84300397197121e-06,0.6058604239482666,4,1.0,0.0,0.0008629631172778755,-6.689606198253836,985.4889166457031,1.0,cube,"19,24,26",cap500_cut1e-8
500,3,1e-08,dense,0.001614821623383125,0.003222709753486698,-6.255576660620458,541.7186709365552,496,302.0509600315656,-6.270921192823536e-13,1.1072462794725778e-05,0.4489096250165211,2,0.248,0.0,0.0015871082661410732,-6.2624900724150985,544.9123581063552,1.0,cube,"5,12,17",cap500_cut1e-8
500,3,1e-08,dense,5.5971894266080596e-05,0.00953197514262915,-4.744961103002878,365.8576310335069,107,147.14026480455283,-2.213651484339607e-11,1.4529973849320836e-09,0.4427228171146176,2,0.214,0.0,2.766842551603003e-05,-4.874699534472722,1117.1841227925806,0.222,cube,"14,17,20",cap500_cut1e-8
