P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
1000,3,1e-06,dense,1.8221161910728257e-05,0.0019226001275049712,-6.914108687222233,1061.661610212232,997,809.3596775459268,-8.072636386721476e-12,1.663303198578766e-05,0.21401430347674671,4,1.0,0.0,0.0009464793340894787,-6.913228657917487,1010.249509834845,1.0,cube,"5,10,18",cap1000_cut1e-6
1000,3,1e-06,dense,2.170184919309602e-05,0.0033079447964262554,-7.322174300769793,1904.016900676717,997,446.8611873723328,-1.0455465168042106e-12,1.138488132742548e-05,0.15136525093925457,4,1.0,0.0,0.00044220522061478906,-7.319198447757899,1859.318586482982,1.0,cube,"11,15,26",cap1000_cut1e-6
1000,3,1e-06,dense,0.0007187160179052901,0.0020689977381244495,-7.013459262752233,1197.4894843891373,996,749.1792607046539,3.094304186721019e-14,7.605951425673587e-06,0.18900334156198992,4,0.219,0.0,0.0007177661196094427,-7.015917117735487,1199.3379538095805,1.0,cube,"8,22,25",cap1000_cut1e-6
1000,3,1e-06,dense,0.00021875898242798092,0.003933284887271181,-7.809148930329996,3636.6913169478853,996,445.8229229364295,-1.0694162768614127e-11,4.976937537454734e-06,0.1847784491033684,2,0.211,0.0,0.00021847034272881347,-7.808596115943056,3634.665877284466,1.0,cube,"12,22,29",cap1000_cut1e-6
1000,3,1e-06,dense,2.9635760543115278e-06,0.0019494538030958473,-6.9876447337641805,1474.600805144859,997,629.9024043540171,-3.324019504628203e-13,1.2603467704088084e-05,0.19452146936526482,4,0.205,0.0,0.000773334792195719,-6.984507950064872,1139.2941927434345,1.0,cube,"5,7,30",cap1000_cut1e-6
1000,3,1e-06,dense,4.588533910440827e-06,0.0022759027551794175,-7.025194504977831,1423.6294644056084,997,414.1281402276808,-6.583983336750225e-13,1.9479793783955237e-05,0.23687863791269387,4,1.0,0.0,0.0007203782717755693,-7.021868504371331,1207.476701896951,1.0,cube,"2,10,18",cap1000_cut1e-6
1000,3,1e-06,dense,3.007997112651177e-05,0.0016898382667379001,-6.9262025411943595,1063.5491496690279,997,655.8018122661533,-2.127112865046674e-11,1.620730412703204e-05,0.21979234697121036,4,0.21,0.0,0.0008944786247915238,-6.925734661805487,1033.651046725504,1.0,cube,"8,11,14",cap1000_cut1e-6
1000,3,1e-06,dense,3.039607727927802e-05,0.0038752888232230437,-7.405187114956265,2073.927632798345,997,507.8555556755183,-1.112524326048064e-12,1.2550536041709174e-05,0.20889306491546905,4,1.0,0.0,0.000410977794540167,-7.4020780444644005,2042.0501146629115,1.0,cube,"19,24,26",cap1000_cut1e-6
1000,3,1e-06,dense,0.0008213043062890135,0.0016390822128991205,-6.9495583784632755,1080.7017742658745,996,593.8827030935734,-2.790243577752011e-10,1.2443494186328223e-05,0.1314841007710749,2,0.22,0.0,0.0008202038383035926,-6.952565491015463,1083.1248339325896,1.0,cube,"5,12,17",cap1000_cut1e-6
1000,3,1e-06,dense,2.7990872523207403e-05,0.0047668263631235165,-5.4823331412201055,985.1865150892874,216,294.22874678500693,-1.120303849688753e-11,1.4554012156968545e-09,0.22302944129619104,2,0.212,0.0,2.0913760017916736e-05,-5.544274763088379,1567.7872768627496,0.22,cube,"14,17,20",cap1000_cut1e-6
1000,3,1e-06,dense,4.137392888001433e-06,0.0015606934905534006,-6.969223863235289,1392.3893171209818,997,1215.5510759291708,-1.4176375317076421e-11,1.2182032829544033e-05,0.49973527618471236,4,0.218,0.0,0.0003762964668530692,-6.968663938884318,1158.5618603651947,1.0,cube,"0,7,8",cap1000_cut1e-6
1000,3,1e-06,dense,8.005037950820961e-07,0.005439990751547406,-12.387672644295003,1012117.5081869899,995,270.7214004079754,-3.682352624436846e-12,3.526511598083971e-05,0.1986313824860893,3,0.192,0.0,3.407838675629274e-07,-12.381699576586401,1012649.1701171852,1.0,cube,"4,22,25",cap1000_cut1e-6
1000,3,1e-06,dense,7.467232178853696e-05,0.001955636323256908,-6.974590834977581,1130.3360877322625,997,591.2888031512139,-1.0187852260396489e-11,1.2925905294544098e-05,0.24254696469198517,4,0.183,0.0,0.0007989132602679936,-6.9743760051415835,1119.5740092603828,1.0,cube,"13,14,15",cap1000_cut1e-6
1000,3,1e-06,dense,3.6879758065183445e-05,0.005402622156095227,-8.786036084255471,11700.523126629805,997,372.45657092890843,-2.773025329528217e-13,3.5497043022058957e-06,0.3810906148986689,4,0.188,0.0,6.989387061303172e-05,-8.782018622481722,11672.421239909869,1.0,cube,"22,23,27",cap1000_cut1e-6
1000,3,1e-06,dense,1.80684276045753e-06,0.004496685750379425,-8.072636600404124,5493.895117604667,997,353.1200041697905,-2.766118524065143e-13,5.279120701694566e-06,0.3463018916074522,4,0.202,0.0,0.00016325861796969929,-8.066627154730392,4941.41376808266,1.0,cube,"7,24,25",cap1000_cut1e-6
1000,3,1e-06,dense,6.086933619190741e-06,0.0019988394698039337,-6.92926762999462,1197.4220521151271,997,717.3681340357302,-1.9187458517780834e-12,1.3242029308375677e-05,0.19791263801622205,3,0.991,0.0,0.0008915143393065809,-6.926962579009321,1035.7847232411239,1.0,cube,"4,13,18",cap1000_cut1e-6
1000,3,1e-06,dense,1.6148038247622126e-05,0.002276044253772524,-7.044851654512862,1308.0073869345592,997,765.7703062401281,2.4898461011067767e-12,9.383782239283571e-06,0.23868342742348542,4,0.206,0.0,0.0006881191681333576,-7.042753918152846,1248.2771401039302,1.0,cube,"13,24,25",cap1000_cut1e-6
1000,3,1e-06,dense,1.1590062611005508e-06,0.0017003583479042739,-6.963439887697336,1957.8315063735747,997,603.2200432758939,-2.687074152040588e-12,1.310760518901551e-05,0.13759862811469956,3,0.218,0.0,0.0008075143838777145,-6.959652100345659,1095.8845054516692,1.0,cube,"5,14,17",cap1000_cut1e-6
1000,3,1e-06,dense,7.953011681235137e-06,0.0017549284577835212,-6.910223674363497,1123.905093947355,997,593.1525779233506,-1.0774558491825202e-11,1.7154441852303862e-05,0.12913976634477195,2,0.193,0.0,0.0008921127275057201,-6.9089588470408145,1002.1745691346318,1.0,cube,"1,5,10",cap1000_cut1e-6
1000,3,1e-06,dense,4.404293102195467e-06,0.003764357486073959,-7.595158996429457,2913.819868086668,997,362.55013877387825,7.915813243031007e-13,6.461934260492845e-06,0.30887069420866775,4,0.213,0.0,0.0003003575044016076,-7.590946690315441,2688.9532809029383,1.0,cube,"10,14,25",cap1000_cut1e-6
1000,5,1e-06,dense,3.471461382865039e-05,0.00397918873988326,-7.652811888054264,2913.3493198494043,997,766.9631903968931,-3.0952338161775606e-13,4.513101332191113e-06,0.5658348926755177,4,0.207,0.0,0.00028104366638043735,-7.6502463000518475,2886.758668603001,1.0,cube,"16,19,20,25,30",cap1000_cut1e-6
1000,5,1e-06,dense,4.092103074950694e-05,0.001712892453760691,-6.940912291708662,1082.10534347422,997,1516.2386839676801,1.9098998278356326e-12,1.6273566530153636e-05,0.3632477851793207,4,1.0,0.0,0.0008524261182966417,-6.940468708497371,1060.667941251268,1.0,cube,"0,10,18,24,29",cap1000_cut1e-6
1000,5,1e-06,dense,5.156628763266482e-05,0.004393812830656989,-8.192248146508016,5963.947016682334,997,587.3852075092329,2.990439218569281e-13,5.491618554570595e-06,0.4998500664733146,2,0.203,0.0,0.000132729551141851,-8.189582293210421,5946.290176533714,1.0,cube,"11,15,17,23,27",cap1000_cut1e-6
1000,5,1e-06,dense,1.640437953993738e-08,0.0018968276137133603,-6.995871676585268,62230.442247385305,998,1255.869905338108,-1.2508540656294513e-11,1.117052532817067e-05,0.34521715383567086,2,0.208,0.0,0.0007654353036471215,-6.985196587258151,1142.0414007966342,1.0,cube,"0,1,19,29,30",cap1000_cut1e-6
1000,5,1e-06,dense,5.2712356699389446e-05,0.0035805105331583775,-7.442711159146998,2205.588931279583,997,585.5544500214303,-5.058053725266112e-13,9.976117186369314e-06,0.12771543612385336,2,0.195,0.0,0.0003733687865081755,-7.440658626205302,2188.4471752003005,1.0,cube,"9,15,16,17,19",cap1000_cut1e-6
1000,5,1e-06,dense,1.9481920320662623e-06,0.0016104117440859816,-6.943108892605089,1569.0650674169958,998,1516.8353911187255,1.3717425019454749e-09,0.00011143685413431057,0.42025254371465587,3,0.195,0.0,0.0008627393731516963,-6.939138498003196,1057.6283415181972,1.0,cube,"0,18,19,21,25",cap1000_cut1e-6
1000,5,1e-06,dense,1.4699414700663847e-05,0.0037503897288514937,-7.506375734726144,2440.7300578592753,997,783.6334535311626,-2.4519418575965127e-11,6.516569550777953e-06,0.6724509092073635,4,0.203,0.0,0.0003444507264592451,-7.502779005907092,2373.9881176656872,1.0,cube,"6,18,24,25,31",cap1000_cut1e-6
1000,5,1e-06,dense,6.615804060879707e-07,0.0036909467523005978,-7.526491454475872,3949.886666857996,997,471.89561713144815,-1.156028563515829e-11,4.180239193549216e-06,0.1536068078327694,3,0.205,0.0,0.00033475261661185176,-7.520013209245432,2435.885189190195,1.0,cube,"4,10,11,14,22",cap1000_cut1e-6
1000,5,1e-06,dense,9.435478517036361e-05,0.0045036635697772946,-7.8486868058292645,3665.1224835054763,997,655.3990437762407,-1.1511539836108272e-11,3.5249445776071136e-06,0.6438367999632567,2,0.182,0.0,0.00022454079091448553,-7.846700720272218,3656.8518255267577,1.0,cube,"7,17,26,27,28",cap1000_cut1e-6
1000,5,1e-06,dense,5.3112923768999285e-05,0.0023178762608120156,-7.0495432139697565,1274.7901686441933,997,698.9497281513138,-6.904256475567749e-13,7.810142480586277e-06,0.2224416514875377,2,0.193,0.0,0.0006835414995826264,-7.04862061843011,1258.3153743647244,1.0,cube,"1,7,13,15,19",cap1000_cut1e-6
1000,5,1e-06,dense,2.364521538134381e-08,0.0029829231565515093,-7.253909525556354,44070.27698786676,998,638.6132197337835,-3.9542607915805076e-13,1.2223735462151458e-05,0.15859073520824374,4,0.213,0.0,0.0004929479567897691,-7.241765510792724,1672.6997454901277,1.0,cube,"3,6,7,19,29",cap1000_cut1e-6
1000,5,1e-06,dense,3.198524378899887e-05,0.0020728185993328027,-7.0271303560569764,1249.0576259054244,997,1013.2346525139399,3.661565302222674e-12,1.0844655587514392e-05,0.39130866944830567,2,0.22,0.0,0.0006978461571760674,-7.026092924428375,1220.5363654439911,1.0,cube,"3,9,13,23,25",cap1000_cut1e-6
1000,5,1e-06,dense,6.426170096264526e-05,0.002832902693092927,-7.180561350323869,1540.494890091051,997,1086.8259852049696,3.123909417133149e-12,9.406954543117837e-06,0.3982500361545631,2,0.199,0.0,0.0005463061467479852,-7.179333337213348,1526.972989396358,1.0,cube,"13,17,23,28,29",cap1000_cut1e-6
