scene,N,si_mae_A
cube,1,0.1543886363506317
cube,2,0.1447013020515442
cube,3,0.13710211217403412
cube,5,0.1318754404783249
cube,8,0.1454191505908966
cube,15,0.16914254426956177
cube,24,0.17869022488594055
cylinder,1,0.11984091252088547
cylinder,2,0.09850598871707916
cylinder,3,0.08336293697357178
cylinder,5,0.10875765979290009
cylinder,8,0.07082896679639816
cylinder,15,0.05418705567717552
cylinder,24,0.053945817053318024
hemisphere,1,0.2179405242204666
hemisphere,2,0.19054721295833588
hemisphere,3,0.13483811914920807
hemisphere,5,0.039280686527490616
hemisphere,8,0.017535068094730377
hemisphere,15,0.012390987947583199
hemisphere,24,0.007939011789858341
plane,1,nan
plane,2,nan
plane,3,nan
plane,5,nan
plane,8,nan
plane,15,nan
plane,24,nan
sphere,1,0.2196635752916336
sphere,2,0.19059830904006958
sphere,3,0.1340138167142868
sphere,5,0.031183313578367233
sphere,8,0.01777227781713009
sphere,15,0.012774009257555008
sphere,24,0.00851073581725359
