P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,3,1e-08,dense,1.3726210149935268e-07,0.001523260016079179,-7.146460376016393,13528.782280401463,997,1034.4931340351661,1.539186973052982e-11,1.607722565614786e-05,0.23195620351637697,7,0.89,0.0,conf_cone_r04_d12,"3,13,28"
1000,3,1e-08,dense,1.9132452715751854e-07,0.001383000590432973,-7.044457769258282,7201.325996220217,996,1110.330861737325,-1.1607329778275268e-10,3.5253933657957545e-06,0.2541274660526758,7,0.576,0.0,conf_cone_r04_d12,"5,12,29"
1000,3,1e-08,dense,3.522791592815604e-08,0.0016052207106003573,-7.2740423556637746,53138.3637051275,997,754.0488671188183,-7.140334785016794e-11,4.125324738944704e-06,0.2773393314929473,7,0.565,0.0,conf_cone_r04_d12,"3,12,18"
1000,3,1e-08,dense,1.2935989684510792e-08,0.0016989582762978084,-7.339434158831602,103075.57797193795,997,771.2562718375834,1.4380366426008604e-10,3.3540756324051544e-06,0.23501831748232144,7,0.908,0.0,conf_cone_r04_d12,"11,16,21"
1000,3,1e-08,dense,1.6199973593665985e-08,0.002517904263557974,-7.819704434491112,257755.67438525916,983,578.7715007819781,-2.326069892261409e-12,2.712885713421802e-06,0.19946669999547623,7,0.736,0.0,conf_cone_r04_d12,"11,23,27"
1000,3,1e-08,dense,1.7887751347238964e-08,0.0017261147682003306,-7.382342042647732,89324.48504002678,997,907.5837868657197,-1.2396955007621032e-09,6.949171961093839e-06,0.39506794546654,8,0.932,0.0,conf_cone_r04_d12,"16,21,24"
1000,3,1e-08,dense,1.0768449936504004e-08,0.0030584134235251623,-7.974538552483319,590649.9535835778,985,689.2222410397404,-2.062250015489609e-10,2.503742917670778e-06,0.26842101219384734,7,0.74,0.0,conf_cone_r04_d12,"27,30,31"
1000,3,1e-08,dense,1.7151289954149986e-08,0.005819852155687725,-8.26568550370878,296299.4362126487,795,202.0254689095109,-3.308250880346436e-16,4.79309244530577e-06,0.1274314479873434,7,0.508,0.0,conf_cone_r04_d12,"6,19,25"
1000,3,1e-08,dense,4.292502088569139e-08,0.0013422216494790595,-6.987966351203826,29491.974006280085,997,1388.901366590753,1.8168867328329997e-10,8.27952947956979e-06,0.40583425090976116,7,0.905,0.0,conf_cone_r04_d12,"0,5,7"
1000,3,1e-08,dense,1.178394987486043e-08,0.001632836681591719,-7.1962962495593485,130028.06554841611,998,1074.649383168227,-8.621248970105947e-10,2.0846731225098853e-06,0.625140976601213,8,0.51,0.0,conf_cone_r04_d12,"1,10,18"
1000,3,1e-08,dense,1.0308954741619505e-08,0.0021535177662232157,-7.661217373811762,196054.24803364693,995,1192.3177538826076,1.9329095048672533e-10,4.761638565491415e-06,0.8384871877853702,7,0.789,0.0,conf_cone_r04_d12,"20,26,31"
1000,3,1e-08,dense,1.7711889860965128e-08,0.0018741985236044821,-7.4364219476727085,65445.66390609241,997,943.8024716474421,-8.373012093971409e-10,2.0770542472313227e-06,0.1744387646333685,8,0.564,0.0,conf_cone_r04_d12,"9,21,31"
1000,3,1e-08,dense,5.618756365706838e-08,0.0016552345057008462,-7.1365094514331835,29221.885828012422,998,715.5560587390167,6.159394831132361e-10,3.6674123683469956e-07,0.20768463528505887,8,0.534,0.0,conf_cone_r04_d12,"4,13,17"
1000,3,1e-08,dense,2.6424484775483318e-08,0.0040623186549951056,-8.314007043135272,81898.79642747258,997,435.0470813237639,8.115829805658536e-12,6.613544745344752e-06,0.1599827778368927,7,0.558,0.0,conf_cone_r04_d12,"9,27,28"
1000,3,1e-08,dense,7.43849423679046e-08,0.0014923361293735459,-7.12699911245856,27217.088063529787,998,916.7119959560482,3.228385492737724e-10,4.644024483655333e-06,0.4140523842756552,8,0.513,0.0,conf_cone_r04_d12,"4,13,16"
1000,3,1e-08,dense,3.308009429606974e-08,0.001962680134011782,-7.525074587042242,127780.31435607406,993,660.5130050676875,-8.11329943236234e-16,1.846712749685208e-05,0.2550873990157856,7,0.515,0.0,conf_cone_r04_d12,"6,16,23"
1000,3,1e-08,dense,2.6951793602366712e-08,0.002169885648721645,-7.5269962347268144,107153.38959441696,996,703.8694924650835,5.867486089526449e-10,2.8823053738780016e-06,0.4308867260208501,7,0.517,0.0,conf_cone_r04_d12,"6,25,26"
1000,3,1e-08,dense,8.182906021230597e-07,0.0021432620783017574,-7.459565498202673,14333.1314029779,996,608.9499754161587,-5.68861644834004e-10,2.7140644442706704e-06,0.2973657439700088,7,0.48,0.0,conf_cone_r04_d12,"1,12,26"
1000,3,1e-08,dense,1.6402187022488702e-08,0.001442980567852242,-7.123917906668831,79041.4440213282,997,568.1040236983608,-4.5654766117572026e-10,8.062614151496098e-06,0.17936116281403836,7,0.752,0.0,conf_cone_r04_d12,"8,19,27"
1000,3,1e-08,dense,1.244302799781902e-08,0.005597008421784007,-8.474412413783714,587740.9847051214,851,294.8407022296882,-8.982317720529555e-11,4.4619496427194654e-06,0.14039714969262324,7,0.648,0.0,conf_cone_r04_d12,"19,20,22"
1000,3,1e-08,dense,1.0045343123950252e-08,0.0014248780361918016,-7.025456424002128,113611.73250530075,997,631.4827464656273,1.7573166402807348e-10,7.287975880070114e-06,0.19429749012171932,7,0.528,0.0,conf_cone_r04_d12,"0,6,11"
