scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cone_r04_d12,3,"0,5,7",0.00017691456014290452,0,0,0.0005439227174148575,nan,0,1400,0.007293252274394035,33.29955497472598
conf_cone_r04_d12,3,"0,6,11",0.00013221416156738997,0,0,0.0005228343699126283,nan,0,1400,0.008289013989269733,33.017346244607744
conf_cone_r04_d12,3,"1,10,18",0.00013610091991722584,0,0,0.0005533985125213682,nan,0,1400,0.007055200636386871,18.755777118774297
conf_cone_r04_d12,3,"1,12,26",0.00011981817078776658,0,0,0.0005339587088128703,nan,0,1400,0.007146794814616442,17.470880121615732
conf_cone_r04_d12,3,"2,21,30",0.00014328010729514062,0,0,0.0005479027771342765,nan,0,1400,0.006624511908739805,17.897564940441534
conf_cone_r04_d12,3,"3,12,18",0.00012856500688940287,0,0,0.000541834753137296,nan,0,1400,0.0074537149630486965,17.91732426371392
conf_cone_r04_d12,3,"3,13,28",0.00015570031246170402,0,0,0.0005294436963499374,nan,0,1400,0.0076946173794567585,18.340949246742618
conf_cone_r04_d12,3,"4,13,16",0.00015982001787051558,0,0,0.0005243317281661058,nan,0,1400,0.00804495345801115,18.324105409897765
conf_cone_r04_d12,3,"4,13,17",0.00013446353841573,0,0,0.0005485364214744671,nan,0,1400,0.007208297029137611,18.519440626403867
conf_cone_r04_d12,3,"5,12,29",0.0001654693332966417,0,0,0.000546088555497838,nan,0,1400,0.006970877293497324,18.987883333826453
conf_cone_r04_d12,3,"6,16,23",0.00013167501310817897,0,0,0.00047264834426747455,nan,0,1400,0.008086776360869408,16.57933988332111
conf_cone_r04_d12,3,"6,19,25",9.801337728276849e-05,0,0,0.00037269489044992963,nan,0,1400,0.014394470490515232,13.245344441609907
conf_cone_r04_d12,3,"6,25,26",0.00012042751768603921,0,0,0.0005365418945634149,nan,0,1400,0.006926784757524729,17.683781122247787
conf_cone_r04_d12,3,"8,19,27",0.0001404222275596112,0,0,0.0005204003793487712,nan,0,1400,0.007249581627547741,17.30808529685426
conf_cone_r04_d12,3,"9,21,31",0.00014587065379600972,0,0,0.0004995385943838614,nan,0,1400,0.008103860542178154,17.891051852629566
conf_cone_r04_d12,3,"9,27,28",0.00010821108298841864,0,0,0.0004864578583824927,nan,0,1400,0.006636316888034344,14.670071356110583
conf_cone_r04_d12,3,"11,16,21",0.0001578607625560835,0,0,0.00047311932348140934,nan,0,1400,0.009610455483198166,17.27476396812689
conf_cone_r04_d12,3,"11,23,27",0.0001229570189025253,0,0,0.0005208034085994039,nan,0,1400,0.006537012755870819,16.17372856578125
conf_cone_r04_d12,3,"11,24,30",0.00012020915164612234,0,0,0.0004733195187371899,nan,0,1400,0.006703238468617201,14.687391938825968
conf_cone_r04_d12,3,"13,15,21",0.00017155788373202085,0,0,0.0005103281199024674,nan,0,1400,0.00837449636310339,18.689031949568733
conf_cone_r04_d12,3,"16,21,24",0.00016889275866560638,0,0,0.0004731195587148165,nan,0,1400,0.009818174876272678,17.284413129182145
