probe,scene,S_a,S_b,D_albedo,D_normal_deg,si_mae_a,si_mae_b
A,00f7c6d95b7d4c359681cc3b93f8a077,"0,2,3","1,2,3",6.762490556866396e-06,0.0010729405330494046,0.002001184970140457,0.0020011744927614927
A,00ff6c772dce4e84bf66544ada6093a0,"0,2,4","0,3,4",5.980596597510157e-06,0.0012450607027858496,0.01742476597428322,0.017424654215574265
A,0104f4b9bd3c476d949785e03f2ff7c6,"0,1,2","2,3,4",7.3930264079535846e-06,0.0010819090530276299,0.00014741368067916483,0.0001474136224715039
A,0109cde49c664b408e6a95a82d235070,"2,3,4","2,3,4",0.0,0.0018482301384210587,0.20037661492824554,0.20037661492824554
A,01f2d9c189f5404c97f696d022b0ad81,"0,1,3","0,2,3",0.0,0.001569978310726583,0.0008750032284297049,0.0008750032284297049
A,024bfdbc8f1c4a75bdbaaecb905e04e8,"1,2,4","0,1,2",4.363308562460588e-06,0.0013007994275540113,0.065880186855793,0.0658801794052124
A,027e8e8787bf40689bdd8e795636a106,"0,1,4","0,1,4",0.0,0.002384504768997431,0.02857324294745922,0.02857324294745922
A,02c1619333c74000886bee7b9667e1d6,"0,1,4","0,3,4",3.0558865091734333e-06,0.001779192010872066,0.00014787739200983196,0.00014787739200983196
A,02fc000a981e416386d8cc51c858de5b,"2,3,4","1,2,3",9.195360689773224e-06,0.0007491296273656189,0.18112201988697052,0.18112200498580933
A,03ba54375bcb45d1a92a5dcb9e8e3a59,"2,3,4","1,2,4",7.594423095724778e-06,0.0009050826774910092,0.05120958015322685,0.0512097030878067
A,0437089225fb4b8496c6c4a824d370e6,"2,3,4","1,3,4",4.787496891367482e-06,0.0012556381989270449,0.08081475645303726,0.08081473410129547
A,048002dcad254cf8b57d51d84ad84435,"0,2,4","0,2,4",0.0,0.0024870154447853565,0.07408074289560318,0.07408074289560318
A,04dbe2471a134bd68f5b8d8d4af95aae,"0,1,2","0,1,2",0.0,0.0022773928940296173,0.04226253181695938,0.04226253181695938
A,04e43ff1195e45029a03b6cdc53f9aa8,"0,3,4","0,2,4",5.859092198079452e-06,0.001155039295554161,0.00014698719314765185,0.0001469871640438214
A,04e5ee9a0baa446e9ab973cce0153bc8,"2,3,4","0,1,4",8.782299119047821e-07,0.002280936809256673,0.0001472016010666266,0.00014720161561854184
A,05703932eb2c45c0918d4f91c875d064,"2,3,4","2,3,4",0.0,0.0016438195016235113,0.019773758947849274,0.019773758947849274
A,060c9e87a01b4fd08f87578d63e4961e,"0,1,3","0,1,3",0.0,0.0027460670098662376,0.03454386815428734,0.03454386815428734
A,062ad5b97bf34d75b7c7003b9b6f2cb0,"0,2,4","0,1,3",2.9839509352314053e-06,0.0015433127991855145,0.004923402797430754,0.004923321772366762
A,069044476a7f49b9b83f6364654c85c3,"0,2,3","0,3,4",7.510336672567064e-06,0.0008378802449442446,0.12022615969181061,0.12022610753774643
A,0692e0ff0ef34b21b1f3659270d2e558,"0,2,3","1,2,3",4.9138557187689e-06,0.0009862656006589532,0.03769830986857414,0.037698354572057724
A,06dd0877eb584e569d1bc9070e42baa2,"0,1,4","0,1,3",6.239925824047532e-06,0.0011973551008850336,0.08150701224803925,0.08150706440210342
A,07a81928f67f4aa2ad0d59a057ae374e,"0,1,4","0,2,3",6.663441581622465e-06,0.001113946083933115,0.1047653928399086,0.10476526618003845
A,07c2642631f947a5ac799dddeea39eb9,"0,3,4","0,2,3",5.5435666581615806e-06,0.001211105496622622,0.04660177230834961,0.04660195857286453
A,086be698bca14d7791d9032884909954,"0,3,4","1,3,4",2.365047066632542e-06,0.0012624423252418637,0.07621251791715622,0.07621248811483383
A,087ca366dee64594bba4189b31dd7a45,"1,2,4","0,2,4",6.741155175404856e-06,0.0010095483157783747,0.027143439278006554,0.02714335173368454
A,08aab5b01d384e0082c56c17fc9f2245,"1,2,3","1,2,3",0.0,0.002421724610030651,0.00014691615069750696,0.00014691615069750696
A,08bc3a0eec7042389949e2c5ad9bf700,"1,2,3","0,2,3",7.855705916881561e-06,0.0006933746044524014,0.025461595505475998,0.025461627170443535
A,099450527f614a3e81baf1fe4fe087ab,"0,2,3","0,1,3",3.808312612818554e-06,0.0015535522252321243,0.059799909591674805,0.05979987606406212
A,09fb340c826c402683eca48320936aec,"0,2,3","0,2,3",0.0,0.002364526502788067,0.0001479365600971505,0.0001479365600971505
A,0a354259149c4930bac9bab65ce89cdd,"0,1,2","0,2,4",1.8731277577899164e-06,0.0013703593285754323,0.01899588294327259,0.01899588480591774
A,0a39c8c2a2df48b6a072da1d9306cf36,"0,1,4","0,1,4",0.0,0.0012097586877644062,0.10698248445987701,0.10698248445987701
A,0ae2a05bf20c4b028b86c33e26aa9e0c,"0,1,3","2,3,4",7.910344720585272e-06,0.0007792686810716987,0.08632886409759521,0.08632873743772507
A,0af17e65f26647cc99709f7d15944994,"0,2,4","1,2,4",4.2772016968228854e-06,0.0014418576611205935,0.07283002138137817,0.07283005118370056
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,"0,2,4","0,2,4",0.0,0.0018233592854812741,0.07142363488674164,0.07142363488674164
A,0b6168841a3f46bdaa56947d469c79da,"1,3,4","0,3,4",6.989614007579803e-07,0.0023853005841374397,0.00014689612726215273,0.00014689612726215273
A,0bba5774d2bd40e48a2d246fdd0b92f5,"1,3,4","0,1,3",4.368975623947335e-06,0.0012769573368132114,0.05368446186184883,0.05368440970778465
A,0c5eb9cedea94e2180187a07cb661ceb,"0,3,4","0,2,4",2.1301555079844547e-06,0.002391001209616661,0.012784306891262531,0.012784182094037533
A,0c87b9d50c7f4a2292e337ceb54ec36a,"0,3,4","0,2,4",7.338389423239278e-06,0.0010231307242065668,0.044292256236076355,0.044292330741882324
A,0cc862bb5d9f41269631ff62504cfdf9,"0,2,4","0,1,4",5.460370630316902e-06,0.0006036693230271339,0.016925835981965065,0.016925835981965065
A,0e63e1ef419b49278ddc45ec63f69979,"0,1,3","1,2,3",9.232947377313394e-06,0.0007820103783160448,0.010180098935961723,0.010180087760090828
A,0e92245b9cac4423810aece64743decd,"1,3,4","0,3,4",0.0,0.0024552547838538885,0.054511453956365585,0.054511453956365585
A,0f3d54f4b2b74580a2c1891c1116dc5f,"1,2,3","0,2,3",5.993759259581566e-06,0.0021122756879776716,0.07120101898908615,0.07120110839605331
A,0f48025ff969419582312f9a02fd7af0,"0,3,4","1,2,3",1.3908598702983e-05,0.0006217213231138885,0.08485209196805954,0.08485148847103119
A,10edcd93ffa94c2a8cc0bc2e9bcf7eae,"0,2,3","1,2,4",7.77528384787729e-06,0.0007895731832832098,0.00014733136049471796,0.00014733134594280273
A,1175f68a974a45f5b9b6e51c08f1a432,"0,2,4","0,1,3",8.653362783661578e-06,0.0008237427100539207,0.036519862711429596,0.03651990368962288
A,11940acb7fe34046ae965ed2fc1a3359,"0,2,3","0,2,3",0.0,8.06662646937184e-05,0.0002893914352171123,0.0002893914352171123
A,1199736697cb491a899f77c0b75112dd,"0,1,3","0,1,2",5.103914872961468e-07,0.0019725298043340445,0.00014739559264853597,0.00014739559264853597
A,11b4c003677148478409d6a66a65eb0e,"1,2,3","1,2,3",0.0,0.0025779837742447853,0.00937365647405386,0.00937365647405386
A,12aef634af8944ff86f9a967ccb1608b,"2,3,4","1,2,4",5.848490218340885e-06,0.001812224043533206,0.059774190187454224,0.05977427586913109
A,1397ff3d60e04d9aa7b0524d022cf5cf,"0,3,4","0,2,3",0.0004995354101993144,0.05575025826692581,0.0001478023623349145,0.0001478012272855267
A,13c868d7ccfa48288730c0e6334a288c,"0,1,2","0,2,3",9.189691809297074e-06,0.0007545314147137105,0.10519210249185562,0.1051923856139183
A,13d4e5021ab84f30afd31f35c213cccb,"2,3,4","1,2,3",3.0554085697076516e-06,0.002249305136501789,0.009238588623702526,0.009238488040864468
A,1420fb72273245db90f1e90ab0bc1724,"1,3,4","1,3,4",0.0,0.0024849495384842157,0.08153887093067169,0.08153887093067169
A,15db5f6f195c4995898af1b0ce431f80,"1,2,3","0,3,4",4.404401352076093e-06,0.0010425326181575656,0.01589461788535118,0.015894679352641106
A,1603ccd8b72e49c1a7074f124b212f0e,"0,1,4","0,1,3",1.7824671658672742e-06,9.47291700867936e-05,0.00014745992666576058,0.0001474599412176758
A,16ffa17d84c8467f89403df9ad894301,"0,3,4","2,3,4",3.7759768929390702e-06,0.0020467755384743214,0.01017835084348917,0.010178104974329472
A,17092add79b24457ba29f0b35d660072,"0,2,3","0,1,3",7.88436591392383e-06,0.0009481596061959863,0.06777548789978027,0.06777552515268326
A,179832b0585c415d979f90dced97ae71,"0,2,3","0,2,3",0.0,0.0023395067546516657,0.08920689672231674,0.08920689672231674
A,17bc5de2691b43cfb873091778a8de52,"0,1,3","1,2,4",6.476651378761744e-06,0.0011827003909274936,0.00014618686691392213,0.00014618686691392213
A,18b0f54db566476fb861c8fa187cd8d8,"0,1,3","0,3,4",7.172718596848426e-06,0.001087909797206521,0.21508842706680298,0.215088352560997
A,1907da7461054e5ba6885302c08c2677,"1,2,4","0,3,4",2.1958037905278616e-05,0.0025103443767875433,0.0824388638138771,0.08244913071393967
A,191df4fa5f48453d81ede86ed863a3c2,"1,2,3","1,2,4",1.800504105631262e-05,0.0011423854157328606,0.08718258142471313,0.08718524873256683
A,193c0e81efc74ed0bd5834586cf3fe8f,"1,2,3","0,1,2",5.79746574658202e-06,0.001286339364014566,0.1149553656578064,0.11495533585548401
A,195a37929e644c3dbfbe25de252b0969,"0,1,4","0,1,2",7.166227533161873e-06,0.0008245765930041671,0.1805846244096756,0.18058456480503082
A,1ada36a1a86a4bdaaa106bee7d9ac67d,"2,3,4","1,3,4",6.716613370372215e-06,0.0011162490118294954,0.1214049682021141,0.12140490859746933
A,1b98302c1ed9406a8343b3d39d6c5095,"1,2,4","2,3,4",8.08806908025872e-06,0.0009385158773511648,0.00014744879445061088,0.00014744886721018702
A,1bbd90606751424ca876f2c94e183784,"1,2,3","2,3,4",9.726965799927711e-06,0.0009501440217718482,0.022101907059550285,0.02210213616490364
A,1bc61e7f64a54ccc9f3942b874779522,"2,3,4","0,1,3",8.122980034386273e-06,0.0007302426965907216,0.11409378051757812,0.11409381777048111
A,1d29f591697e493387d51a116b895934,"0,2,4","0,3,4",6.625687092309818e-06,0.0010260833660140634,0.07272996753454208,0.07272999733686447
A,1dbcb5f847804c75822615e161505d83,"0,2,3","0,2,4",1.6464359759993386e-06,0.0013785341288894415,0.00014709844253957272,0.00014709844253957272
A,1e5929958e9d4fd5b0b8cdeaf2752d01,"0,1,3","1,2,4",5.4422321227320936e-06,0.0010316837579011917,0.03266448527574539,0.03266451507806778
A,1ea9f54daa68475d867243576d94e9b5,"0,1,2","0,1,4",7.69706821301952e-06,0.0011469571618363261,0.1141449362039566,0.1141449362039566
A,1eeefd2d22dd4b6c8ec6fbfa1f885d01,"1,3,4","0,1,4",4.699391411122633e-06,0.002797885099425912,0.0928676426410675,0.09286734461784363
A,1f6c403e514e4d259ecb329543003c3d,"0,1,3","0,3,4",3.679614110296825e-06,0.0015857262769713998,0.01871451549232006,0.018714558333158493
A,1f899649bb9f4e51a031668b0a97d438,"2,3,4","0,2,4",2.462197699060198e-06,0.002325661014765501,0.010847063735127449,0.01084712240844965
A,202304220aef4cac84572ec4a072bf68,"0,1,2","0,2,3",0.001850694534368813,0.09561925381422043,0.014893515035510063,0.014902547933161259
A,210f600a968c47e4abeed9c8d25f36bd,"1,3,4","0,1,3",0.0,2.872000368370209e-05,0.0001476063480367884,0.0001476063480367884
A,21228b0cf30745efbf0842c86f34e584,"2,3,4","1,2,4",5.098969268146902e-06,0.0016031806590035558,0.014096688479185104,0.01409651804715395
A,2242ba8057ed45c998208ca71cd13b3e,"0,2,3","1,3,4",5.073167812952306e-06,0.0005314987502060831,0.04081929847598076,0.04081926494836807
A,229df31da28c4d3390d6ae1fef2867e0,"0,1,3","1,2,4",7.47443573345663e-06,0.0013531299773603678,0.021123481914401054,0.021123278886079788
A,22a62914e48948cbb93a08364e3d650c,"0,2,3","1,3,4",0.000161274554557167,0.0075148772448301315,0.08629878610372543,0.08630388230085373
A,2408f7b6d1d64b9ca70b14a84dee8d84,"0,2,4","0,1,2",9.199468877341133e-06,0.0008189306827262044,0.13007362186908722,0.13007348775863647
A,24a0d4520d444db7980f3737950f2a5c,"1,2,3","0,2,3",0.0,0.003539890982210636,0.012866245582699776,0.012866245582699776
A,2570d5ef94e740e9bd85d42e6b8c59f6,"0,1,3","1,3,4",3.4461140785424504e-06,0.0016057898756116629,0.02645275369286537,0.02645271085202694
A,25b1735633484414aef07006a0099c26,"1,2,3","1,2,3",0.0,0.0015872442163527012,0.02643320895731449,0.02643320895731449
A,25b74c8c02ef41f6bdb3dc2b097c6eee,"0,1,4","0,1,2",2.5289147743023932e-05,0.001683394075371325,0.07860639691352844,0.07859407365322113
A,260151f2360c484e8c0a5034ff391021,"0,2,4","0,2,4",0.0,0.0017923804698511958,0.03598080202937126,0.03598080202937126
A,273a3aa035784eacb89db08c1a0710bf,"0,2,4","2,3,4",5.8160326261713635e-06,0.0010049735428765416,0.09837182611227036,0.09837181866168976
A,276f390b0cfc475898b445466d387cf6,"0,1,4","1,2,3",9.339843927591573e-06,0.0007706968463025987,0.07498359680175781,0.07498359680175781
A,27b4f79643cb40ae8cdde5d5a9adebf1,"1,2,3","1,2,4",7.740325600025244e-06,0.0011661346070468426,0.07679010182619095,0.07679028809070587
A,285fbc3ac47c47dead4bae4f21dbf966,"0,1,4","1,3,4",3.1745551041240105e-06,0.0023353712167590857,0.00969398021697998,0.009694155305624008
A,28e9c03735124472877f9f4741a74d78,"0,3,4","1,3,4",7.322283636312932e-06,0.0008361224317923188,0.04901847988367081,0.04901847243309021
A,28f3639867884b1ab9357e990899d9d6,"2,3,4","1,2,4",2.7198632324143546e-06,0.0017710586544126272,0.008447911590337753,0.008447946049273014
A,2989fed94cf84cc8bddefad13d208932,"0,1,4","0,1,2",8.920394975575618e-06,0.000671793008223176,0.04552293196320534,0.04552288353443146
A,29bc29d28a574da5a81e51a7bdccc563,"0,1,4","0,1,4",0.0,0.0016616388456895947,0.013821128755807877,0.013821128755807877
A,29dd1b62f2a74a1f85cad5fede2fc423,"1,3,4","2,3,4",5.216011800257547e-07,0.0026129938196390867,0.042215414345264435,0.042215391993522644
A,29dfbc6436484061ba94690407c5f8fd,"1,3,4","1,2,3",7.716688742220867e-06,0.0007266218890435994,0.004661678336560726,0.0046615563333034515
A,2a37df8f84254af1aa4fca1efdbc4fe7,"0,1,2","1,3,4",6.530301561724627e-06,0.0013006026856601238,0.006247626151889563,0.006247545592486858
A,2b59a3b183004c3c860337ceb41750c8,"0,2,3","1,3,4",7.972295861691236e-06,0.001969571691006422,0.09109535068273544,0.09109526872634888
A,2be296fc2d684166b4e0dcbe84d92337,"0,1,3","1,3,4",7.032447228993988e-06,0.0010628127492964268,0.0001471958967158571,0.00014719586761202663
A,2c0aa3bfb16540fba4ba538a8c67f3b3,"1,2,4","2,3,4",0.0,0.0014558946713805199,0.00014658438158221543,0.00014658438158221543
A,2c3da301c24245ce9b25ce41e44a5b35,"2,3,4","0,1,2",3.1558007322018966e-05,0.0017292145639657974,0.16030244529247284,0.1603032499551773
A,2c60afeb98c3492f8007ac509de7698b,"0,2,3","0,1,4",9.217737897415645e-06,0.0007949548307806253,0.021907903254032135,0.021907903254032135
A,2c6ce38f887f4373ae8f065210b7e9ee,"1,2,3","2,3,4",3.3665785394987324e-06,0.0020679119043052197,0.027036860585212708,0.027036866173148155
A,2c886582d8a94d5d9994de58b51911eb,"2,3,4","0,1,2",7.546563210780732e-06,0.0011756711173802614,0.18519717454910278,0.18519727885723114
A,2cdb6470844d4daba89365be8ad30f14,"0,1,3","0,3,4",1.38978266477352e-05,0.0008205330814234912,0.00014669467054773122,0.0001466947142034769
A,2cf849fec80647928b7638ef08e602f4,"0,1,2","0,1,3",2.1322525753930677e-06,0.0022185889538377523,0.01050576101988554,0.010505600832402706
A,2d0280394a11463a9bf5b6ef8a1659a1,"0,2,3","0,2,3",0.0,0.002582857385277748,0.12446930259466171,0.12446930259466171
A,2d514ed8cabb4519b0e376bd0950115e,"0,1,3","1,2,3",1.461117972212378e-05,0.0015197524335235357,0.0728522464632988,0.07284767925739288
A,2d6cf5ded8634930b65314a62150bc6f,"2,3,4","0,1,4",5.9736980801972095e-06,0.0006807799218222499,0.004578006453812122,0.004577995743602514
A,2d8059066be34f61af4776f23f00640c,"1,2,3","0,1,3",5.120795322000049e-06,0.0009407748002558947,0.08612029999494553,0.08612029999494553
A,2d82e08ea31549a99aa03ac6511613c6,"0,1,3","0,2,4",1.1314035873510875e-05,0.0007501729996874928,0.16432906687259674,0.16432783007621765
A,2dfa3a4d58a442bb9abbf1f7beb2e5e6,"1,2,3","1,3,4",5.100317252981768e-07,0.0027990974485874176,0.05231250450015068,0.05231256037950516
A,2f761f9165384a0e8f51abafd1247e35,"0,1,3","0,1,4",4.342120973888086e-06,0.0015393018256872892,0.05511242523789406,0.055112458765506744
A,2fd7a41706254e6cb2c24467a5ca0370,"0,2,3","1,3,4",1.286241240450181e-05,0.0006722263060510159,0.02219224162399769,0.022192521020770073
A,3050967715914e7791ae4a1d47551822,"1,2,4","1,2,3",4.808870471606497e-06,0.0013762452872470021,0.10571307688951492,0.10571311414241791
A,308472c7daa94a4fbb44be3a345a879a,"1,2,3","2,3,4",6.546396889461903e-06,0.001076640677638352,0.042674168944358826,0.042674023658037186
A,3098fe550c534448adf2e2844e06950d,"1,2,4","0,1,4",1.6467477053083712e-06,0.0017400674987584352,0.10665924102067947,0.10665921866893768
A,31260ec93c914a0ea7835850db66e445,"0,1,3","1,2,4",2.620900431793416e-06,0.0016139937797561288,0.1259869486093521,0.1259869635105133
A,319376f14ac644759cc5f8fae239d6be,"1,2,3","0,1,2",3.301349124740227e-06,0.0015885396860539913,0.09834658354520798,0.09834660589694977
A,31aa0fb227cb47b1897084a9d23aa10f,"0,1,4","0,1,4",0.0,0.0016729658236727118,0.010670222342014313,0.010670222342014313
A,322dc0a758414cd2932ad3bd3d78c678,"0,1,3","0,3,4",1.7818570086092222e-06,0.0018532074755057693,0.08988827466964722,0.08988824486732483
A,3338cda4fe694bc8869b7c587c078246,"0,2,3","2,3,4",0.000425326987169683,0.028775449842214584,0.28222280740737915,0.28229475021362305
A,3354476a318444a88d29eb0105f69289,"0,1,3","2,3,4",6.075179044273682e-06,0.0006104714702814817,0.04074529930949211,0.040745269507169724
