probe,scene,N,si_mae_A,depth_l1,normal_mae,sh_err
A,00f7c6d95b7d4c359681cc3b93f8a077,1,0.002001179615035653,0.09432661533355713,5.122464656829834,0.822009801864624
A,00f7c6d95b7d4c359681cc3b93f8a077,2,0.0020011719316244125,0.09432753175497055,5.122479438781738,1.1657527685165405
A,00f7c6d95b7d4c359681cc3b93f8a077,3,0.002001172164455056,0.09432624280452728,5.122460842132568,1.4264053106307983
A,00f7c6d95b7d4c359681cc3b93f8a077,5,0.0020011733286082745,0.09432647377252579,5.122505187988281,1.8465131521224976
A,00ff6c772dce4e84bf66544ada6093a0,1,0.01742423325777054,0.34650731086730957,23.385255813598633,0.8216988444328308
A,00ff6c772dce4e84bf66544ada6093a0,2,0.017424648627638817,0.3465069830417633,23.385244369506836,1.1658496856689453
A,00ff6c772dce4e84bf66544ada6093a0,3,0.01742476597428322,0.34650665521621704,23.385316848754883,1.4263256788253784
A,00ff6c772dce4e84bf66544ada6093a0,5,0.017424127086997032,0.3465081453323364,23.385272979736328,1.846627116203308
A,0104f4b9bd3c476d949785e03f2ff7c6,1,0.0001474136661272496,0.30353638529777527,10.501958847045898,0.8222332000732422
A,0104f4b9bd3c476d949785e03f2ff7c6,2,0.00014741365157533437,0.30353572964668274,10.501985549926758,1.165681004524231
A,0104f4b9bd3c476d949785e03f2ff7c6,3,0.0001474136224715039,0.3035370409488678,10.50197696685791,1.4264780282974243
A,0104f4b9bd3c476d949785e03f2ff7c6,5,0.0001474136661272496,0.303536981344223,10.501959800720215,1.8464455604553223
A,0109cde49c664b408e6a95a82d235070,1,0.20037664473056793,0.135281041264534,3.916830062866211,0.8206380009651184
A,0109cde49c664b408e6a95a82d235070,2,0.20037661492824554,0.13528093695640564,3.916820764541626,1.1661933660507202
A,0109cde49c664b408e6a95a82d235070,3,0.20037661492824554,0.1352810114622116,3.91682505607605,1.4259898662567139
