probe,scene,E_S3,E_S3_new,E_S3_dup,d_new,d_dup
A,00f7c6d95b7d4c359681cc3b93f8a077,0.002001172164455056,0.002001184970140457,0.0020011807791888714,-1.280568540096283e-08,-8.614733815193176e-09
A,00ff6c772dce4e84bf66544ada6093a0,0.01742476597428322,0.01742428168654442,0.01742456667125225,4.842877388000488e-07,1.993030309677124e-07
A,0104f4b9bd3c476d949785e03f2ff7c6,0.0001474136224715039,0.0001474136661272496,0.00014741365157533437,-4.3655745685100555e-11,-2.9103830456733704e-11
A,0109cde49c664b408e6a95a82d235070,0.20037661492824554,0.20037664473056793,0.20037661492824554,-2.9802322387695312e-08,0.0
A,01f2d9c189f5404c97f696d022b0ad81,0.0008750032284297049,0.0008750032284297049,0.0008750032284297049,0.0,0.0
A,024bfdbc8f1c4a75bdbaaecb905e04e8,0.065880186855793,0.065880186855793,0.0658801794052124,0.0,7.450580596923828e-09
A,027e8e8787bf40689bdd8e795636a106,0.028573177754878998,0.028573205694556236,0.02857315167784691,-2.7939677238464355e-08,2.60770320892334e-08
A,02c1619333c74000886bee7b9667e1d6,0.00014787742111366242,0.00014787742111366242,0.00014787742111366242,0.0,0.0
A,02fc000a981e416386d8cc51c858de5b,0.18112200498580933,0.18112215399742126,0.18112216889858246,-1.4901161193847656e-07,-1.6391277313232422e-07
A,03ba54375bcb45d1a92a5dcb9e8e3a59,0.05120963975787163,0.05120977386832237,0.05120968818664551,-1.341104507446289e-07,-4.842877388000488e-08
A,0437089225fb4b8496c6c4a824d370e6,0.08081500977277756,0.08081479370594025,0.08081471920013428,2.1606683731079102e-07,2.905726432800293e-07
A,048002dcad254cf8b57d51d84ad84435,0.07408074289560318,0.07408080995082855,0.07408074289560318,-6.705522537231445e-08,0.0
A,04dbe2471a134bd68f5b8d8d4af95aae,0.0422624908387661,0.04226252809166908,0.04226261004805565,-3.725290298461914e-08,-1.1920928955078125e-07
A,04e43ff1195e45029a03b6cdc53f9aa8,0.0001469871640438214,0.00014698714949190617,0.00014698710583616048,1.4551915228366852e-11,5.820766091346741e-11
A,04e5ee9a0baa446e9ab973cce0153bc8,0.0001472016010666266,0.0001472016010666266,0.0001472016010666266,0.0,0.0
A,05703932eb2c45c0918d4f91c875d064,0.019773678854107857,0.019773801788687706,0.01977365091443062,-1.2293457984924316e-07,2.7939677238464355e-08
A,060c9e87a01b4fd08f87578d63e4961e,0.034543488174676895,0.034543633460998535,0.03454364091157913,-1.4528632164001465e-07,-1.5273690223693848e-07
A,062ad5b97bf34d75b7c7003b9b6f2cb0,0.004923402797430754,0.0049234237521886826,0.004923488479107618,-2.0954757928848267e-08,-8.568167686462402e-08
A,069044476a7f49b9b83f6364654c85c3,0.12022613734006882,0.12022609263658524,0.12022614479064941,4.470348358154297e-08,-7.450580596923828e-09
A,0692e0ff0ef34b21b1f3659270d2e558,0.037698280066251755,0.03769828379154205,0.03769828751683235,-3.725290298461914e-09,-7.450580596923828e-09
A,06dd0877eb584e569d1bc9070e42baa2,0.08150704950094223,0.08150701224803925,0.08150707185268402,3.725290298461914e-08,-2.2351741790771484e-08
A,07a81928f67f4aa2ad0d59a057ae374e,0.10476507246494293,0.10476519912481308,0.10476503521203995,-1.2665987014770508e-07,3.725290298461914e-08
A,07c2642631f947a5ac799dddeea39eb9,0.04660210758447647,0.04660195857286453,0.04660208150744438,1.4901161193847656e-07,2.60770320892334e-08
A,086be698bca14d7791d9032884909954,0.07621246576309204,0.07621248811483383,0.07621250301599503,-2.2351741790771484e-08,-3.725290298461914e-08
A,087ca366dee64594bba4189b31dd7a45,0.02714335173368454,0.027143387123942375,0.027143290266394615,-3.5390257835388184e-08,6.146728992462158e-08
A,08aab5b01d384e0082c56c17fc9f2245,0.0001469161215936765,0.0001469161215936765,0.0001469161215936765,0.0,0.0
A,08bc3a0eec7042389949e2c5ad9bf700,0.02546156570315361,0.025461632758378983,0.02546158991754055,-6.705522537231445e-08,-2.421438694000244e-08
A,099450527f614a3e81baf1fe4fe087ab,0.05979997664690018,0.05979986861348152,0.059799935668706894,1.0803341865539551e-07,4.0978193283081055e-08
A,09fb340c826c402683eca48320936aec,0.00014793658920098096,0.00014793657464906573,0.00014793661830481142,1.4551915228366852e-11,-2.9103830456733704e-11
A,0a354259149c4930bac9bab65ce89cdd,0.01899588480591774,0.018995899707078934,0.018995925784111023,-1.4901161193847656e-08,-4.0978193283081055e-08
A,0a39c8c2a2df48b6a072da1d9306cf36,0.10698246210813522,0.10698249936103821,0.10698244720697403,-3.725290298461914e-08,1.4901161193847656e-08
A,0ae2a05bf20c4b028b86c33e26aa9e0c,0.08632878214120865,0.086328886449337,0.08632883429527283,-1.043081283569336e-07,-5.21540641784668e-08
A,0af17e65f26647cc99709f7d15944994,0.07283002138137817,0.07283008098602295,0.07283006608486176,-5.960464477539063e-08,-4.470348358154297e-08
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,0.07142363488674164,0.07142366468906403,0.07142367959022522,-2.9802322387695312e-08,-4.470348358154297e-08
A,0b6168841a3f46bdaa56947d469c79da,0.00014689612726215273,0.00014689612726215273,0.00014689612726215273,0.0,0.0
A,0bba5774d2bd40e48a2d246fdd0b92f5,0.0536842979490757,0.053684335201978683,0.05368437245488167,-3.725290298461914e-08,-7.450580596923828e-08
A,0c5eb9cedea94e2180187a07cb661ceb,0.012784182094037533,0.012784282676875591,0.012784329243004322,-1.0058283805847168e-07,-1.471489667892456e-07
A,0c87b9d50c7f4a2292e337ceb54ec36a,0.044292330741882324,0.04429208114743233,0.044292084872722626,2.4959444999694824e-07,2.4586915969848633e-07
A,0cc862bb5d9f41269631ff62504cfdf9,0.016925835981965065,0.016925828531384468,0.016925828531384468,7.450580596923828e-09,7.450580596923828e-09
A,0e63e1ef419b49278ddc45ec63f69979,0.010180122219026089,0.010180114768445492,0.010180084966123104,7.450580596923828e-09,3.725290298461914e-08
A,0e92245b9cac4423810aece64743decd,0.05451136827468872,0.054511625319719315,0.054511625319719315,-2.5704503059387207e-07,-2.5704503059387207e-07
A,0f3d54f4b2b74580a2c1891c1116dc5f,0.07120098918676376,0.0712009072303772,0.07120095193386078,8.195638656616211e-08,3.725290298461914e-08
A,0f48025ff969419582312f9a02fd7af0,0.08485224843025208,0.08485297858715057,0.08485295623540878,-7.301568984985352e-07,-7.078051567077637e-07
A,10edcd93ffa94c2a8cc0bc2e9bcf7eae,0.00014733136049471796,0.00014733137504663318,0.00014733137504663318,-1.4551915228366852e-11,-1.4551915228366852e-11
A,1175f68a974a45f5b9b6e51c08f1a432,0.036519862711429596,0.03651988133788109,0.036519840359687805,-1.862645149230957e-08,2.2351741790771484e-08
A,11940acb7fe34046ae965ed2fc1a3359,0.0002893914352171123,0.0002893914352171123,0.0002893914352171123,0.0,0.0
A,1199736697cb491a899f77c0b75112dd,0.0001473956072004512,0.0001473956072004512,0.0001473956072004512,0.0,0.0
A,11b4c003677148478409d6a66a65eb0e,0.00937381386756897,0.009373811073601246,0.009373772889375687,2.7939677238464355e-09,4.0978193283081055e-08
A,12aef634af8944ff86f9a967ccb1608b,0.059774160385131836,0.059774383902549744,0.059774160385131836,-2.2351741790771484e-07,0.0
A,1397ff3d60e04d9aa7b0524d022cf5cf,0.00014780130004510283,0.00014780079072806984,0.00014780119818169624,5.093170329928398e-10,1.0186340659856796e-10
A,13c868d7ccfa48288730c0e6334a288c,0.10519233345985413,0.10519219934940338,0.10519248992204666,1.341104507446289e-07,-1.564621925354004e-07
A,13d4e5021ab84f30afd31f35c213cccb,0.009238418191671371,0.009238475933670998,0.009238422848284245,-5.774199962615967e-08,-4.6566128730773926e-09
A,1420fb72273245db90f1e90ab0bc1724,0.0815388560295105,0.0815388485789299,0.0815388485789299,7.450580596923828e-09,7.450580596923828e-09
A,15db5f6f195c4995898af1b0ce431f80,0.01589461788535118,0.01589459367096424,0.015894640237092972,2.421438694000244e-08,-2.2351741790771484e-08
A,1603ccd8b72e49c1a7074f124b212f0e,0.0001474599412176758,0.00014745997032150626,0.00014745992666576058,-2.9103830456733704e-11,1.4551915228366852e-11
A,16ffa17d84c8467f89403df9ad894301,0.010178258642554283,0.010178368538618088,0.010178286582231522,-1.0989606380462646e-07,-2.7939677238464355e-08
A,17092add79b24457ba29f0b35d660072,0.06777546554803848,0.06777553260326385,0.06777548789978027,-6.705522537231445e-08,-2.2351741790771484e-08
A,179832b0585c415d979f90dced97ae71,0.0892070010304451,0.08920702338218689,0.08920695632696152,-2.2351741790771484e-08,4.470348358154297e-08
A,17bc5de2691b43cfb873091778a8de52,0.00014618686691392213,0.0001461868960177526,0.00014618696877732873,-2.9103830456733704e-11,-1.0186340659856796e-10
A,18b0f54db566476fb861c8fa187cd8d8,0.21508844196796417,0.2150883972644806,0.21508844196796417,4.470348358154297e-08,0.0
A,1907da7461054e5ba6885302c08c2677,0.08245017379522324,0.08244769275188446,0.0824563130736351,2.4810433387756348e-06,-6.139278411865234e-06
A,191df4fa5f48453d81ede86ed863a3c2,0.0871727392077446,0.08717622607946396,0.0871669352054596,-3.4868717193603516e-06,5.804002285003662e-06
A,193c0e81efc74ed0bd5834586cf3fe8f,0.1149553433060646,0.1149553433060646,0.11495543271303177,0.0,-8.940696716308594e-08
A,195a37929e644c3dbfbe25de252b0969,0.1805846393108368,0.1805845946073532,0.1805845946073532,4.470348358154297e-08,4.470348358154297e-08
A,1ada36a1a86a4bdaaa106bee7d9ac67d,0.1214049905538559,0.12140494585037231,0.12140492349863052,4.470348358154297e-08,6.705522537231445e-08
A,1b98302c1ed9406a8343b3d39d6c5095,0.00014744886721018702,0.00014744886721018702,0.0001474488526582718,0.0,1.4551915228366852e-11
A,1bbd90606751424ca876f2c94e183784,0.022101933136582375,0.02210211753845215,0.022101953625679016,-1.8440186977386475e-07,-2.0489096641540527e-08
A,1bc61e7f64a54ccc9f3942b874779522,0.11409381031990051,0.1140938326716423,0.1140938326716423,-2.2351741790771484e-08,-2.2351741790771484e-08
A,1d29f591697e493387d51a116b895934,0.07272996753454208,0.07272984087467194,0.07272989302873611,1.2665987014770508e-07,7.450580596923828e-08
A,1dbcb5f847804c75822615e161505d83,0.00014709844253957272,0.00014709844253957272,0.00014709844253957272,0.0,0.0
A,1e5929958e9d4fd5b0b8cdeaf2752d01,0.03266449272632599,0.032664503902196884,0.032664503902196884,-1.1175870895385742e-08,-1.1175870895385742e-08
A,1ea9f54daa68475d867243576d94e9b5,0.11414501816034317,0.11414505541324615,0.11414475739002228,-3.725290298461914e-08,2.60770320892334e-07
A,1eeefd2d22dd4b6c8ec6fbfa1f885d01,0.0928674191236496,0.09286730736494064,0.09286729991436005,1.1175870895385742e-07,1.1920928955078125e-07
A,1f6c403e514e4d259ecb329543003c3d,0.018714522942900658,0.01871463656425476,0.01871461234986782,-1.1362135410308838e-07,-8.940696716308594e-08
A,1f899649bb9f4e51a031668b0a97d438,0.01084712240844965,0.010847164317965508,0.010847152210772038,-4.190951585769653e-08,-2.9802322387695312e-08
A,202304220aef4cac84572ec4a072bf68,0.014901140704751015,0.014896971173584461,0.014891739934682846,4.169531166553497e-06,9.40077006816864e-06
A,210f600a968c47e4abeed9c8d25f36bd,0.00014760630438104272,0.00014760631893295795,0.00014760631893295795,-1.4551915228366852e-11,-1.4551915228366852e-11
A,21228b0cf30745efbf0842c86f34e584,0.014096556231379509,0.014096560887992382,0.014096586033701897,-4.6566128730773926e-09,-2.9802322387695312e-08
A,2242ba8057ed45c998208ca71cd13b3e,0.04081930220127106,0.040819279849529266,0.04081929847598076,2.2351741790771484e-08,3.725290298461914e-09
A,229df31da28c4d3390d6ae1fef2867e0,0.021123243495821953,0.021123131737113,0.021123047918081284,1.1175870895385742e-07,1.955777406692505e-07
A,22a62914e48948cbb93a08364e3d650c,0.08630109578371048,0.08629994839429855,0.08629970997571945,1.1473894119262695e-06,1.385807991027832e-06
A,2408f7b6d1d64b9ca70b14a84dee8d84,0.13007362186908722,0.13007362186908722,0.13007357716560364,0.0,4.470348358154297e-08
A,24a0d4520d444db7980f3737950f2a5c,0.012866164557635784,0.012866430915892124,0.012866430915892124,-2.6635825634002686e-07,-2.6635825634002686e-07
A,2570d5ef94e740e9bd85d42e6b8c59f6,0.026452621445059776,0.026452716439962387,0.026452651247382164,-9.499490261077881e-08,-2.9802322387695312e-08
A,25b1735633484414aef07006a0099c26,0.02643323875963688,0.026433251798152924,0.02643323875963688,-1.30385160446167e-08,0.0
A,25b74c8c02ef41f6bdb3dc2b097c6eee,0.07860622555017471,0.07860148698091507,0.07860657572746277,4.738569259643555e-06,-3.501772880554199e-07
A,260151f2360c484e8c0a5034ff391021,0.03598080202937126,0.03598108887672424,0.0359773188829422,-2.868473529815674e-07,3.4831464290618896e-06
A,273a3aa035784eacb89db08c1a0710bf,0.09837182611227036,0.09837181866168976,0.09837182611227036,7.450580596923828e-09,0.0
A,276f390b0cfc475898b445466d387cf6,0.07498352229595184,0.07498371601104736,0.0749836415052414,-1.9371509552001953e-07,-1.1920928955078125e-07
A,27b4f79643cb40ae8cdde5d5a9adebf1,0.0767902359366417,0.07679028809070587,0.0767902135848999,-5.21540641784668e-08,2.2351741790771484e-08
A,285fbc3ac47c47dead4bae4f21dbf966,0.00969412550330162,0.009694176726043224,0.009694070555269718,-5.122274160385132e-08,5.494803190231323e-08
A,28e9c03735124472877f9f4741a74d78,0.049018483608961105,0.049018483608961105,0.049018457531929016,0.0,2.60770320892334e-08
A,28f3639867884b1ab9357e990899d9d6,0.008447998203337193,0.008447992615401745,0.008448045700788498,5.587935447692871e-09,-4.7497451305389404e-08
A,2989fed94cf84cc8bddefad13d208932,0.04552284628152847,0.04552285000681877,0.04552284628152847,-3.725290298461914e-09,0.0
A,29bc29d28a574da5a81e51a7bdccc563,0.013819856569170952,0.013820221647620201,0.013820799998939037,-3.650784492492676e-07,-9.434297680854797e-07
A,29dd1b62f2a74a1f85cad5fede2fc423,0.042215485125780106,0.04221548140048981,0.04221552610397339,3.725290298461914e-09,-4.0978193283081055e-08
A,29dfbc6436484061ba94690407c5f8fd,0.004661506973206997,0.0046614897437393665,0.004661556798964739,1.7229467630386353e-08,-4.98257577419281e-08
A,2a37df8f84254af1aa4fca1efdbc4fe7,0.006247644778341055,0.0062476275488734245,0.006247645244002342,1.7229467630386353e-08,-4.656612873077393e-10
A,2b59a3b183004c3c860337ceb41750c8,0.09109528362751007,0.09109529107809067,0.09109535813331604,-7.450580596923828e-09,-7.450580596923828e-08
A,2be296fc2d684166b4e0dcbe84d92337,0.00014719592581968755,0.0001471958967158571,0.00014719592581968755,2.9103830456733704e-11,0.0
A,2c0aa3bfb16540fba4ba538a8c67f3b3,0.00014658438158221543,0.00014658438158221543,0.00014658438158221543,0.0,0.0
A,2c3da301c24245ce9b25ce41e44a5b35,0.16030362248420715,0.1603025496006012,0.1603051871061325,1.0728836059570312e-06,-1.564621925354004e-06
A,2c60afeb98c3492f8007ac509de7698b,0.021907903254032135,0.021907905116677284,0.021907920017838478,-1.862645149230957e-09,-1.6763806343078613e-08
A,2c6ce38f887f4373ae8f065210b7e9ee,0.02703683264553547,0.027036862447857857,0.027036868035793304,-2.9802322387695312e-08,-3.5390257835388184e-08
A,2c886582d8a94d5d9994de58b51911eb,0.18519720435142517,0.18519727885723114,0.18519729375839233,-7.450580596923828e-08,-8.940696716308594e-08
A,2cdb6470844d4daba89365be8ad30f14,0.0001466947142034769,0.0001466946123400703,0.00014669467054773122,1.0186340659856796e-10,4.3655745685100555e-11
A,2cf849fec80647928b7638ef08e602f4,0.010505607351660728,0.01050571259111166,0.01050566416233778,-1.0523945093154907e-07,-5.681067705154419e-08
A,2d0280394a11463a9bf5b6ef8a1659a1,0.1244693249464035,0.12446929514408112,0.1244693472981453,2.9802322387695312e-08,-2.2351741790771484e-08
A,2d514ed8cabb4519b0e376bd0950115e,0.07283781468868256,0.07284525781869888,0.07284514605998993,-7.443130016326904e-06,-7.331371307373047e-06
A,2d6cf5ded8634930b65314a62150bc6f,0.004577996674925089,0.004577998071908951,0.004578001331537962,-1.3969838619232178e-09,-4.6566128730773926e-09
A,2d8059066be34f61af4776f23f00640c,0.08612027019262314,0.08612027019262314,0.08612026274204254,0.0,7.450580596923828e-09
A,2d82e08ea31549a99aa03ac6511613c6,0.16432783007621765,0.16432823240756989,0.164327472448349,-4.023313522338867e-07,3.5762786865234375e-07
A,2dfa3a4d58a442bb9abbf1f7beb2e5e6,0.05231247842311859,0.05231247842311859,0.052312519401311874,0.0,-4.0978193283081055e-08
A,2f761f9165384a0e8f51abafd1247e35,0.05511245131492615,0.05511245131492615,0.055112432688474655,0.0,1.862645149230957e-08
A,2fd7a41706254e6cb2c24467a5ca0370,0.022192327305674553,0.022192198783159256,0.022192148491740227,1.2852251529693604e-07,1.7881393432617188e-07
A,3050967715914e7791ae4a1d47551822,0.10571308434009552,0.10571317374706268,0.10571315139532089,-8.940696716308594e-08,-6.705522537231445e-08
A,308472c7daa94a4fbb44be3a345a879a,0.042674098163843155,0.04267409071326256,0.04267415031790733,7.450580596923828e-09,-5.21540641784668e-08
A,3098fe550c534448adf2e2844e06950d,0.10665921866893768,0.10665922611951828,0.10665924102067947,-7.450580596923828e-09,-2.2351741790771484e-08
A,31260ec93c914a0ea7835850db66e445,0.1259869784116745,0.1259869486093521,0.1259869486093521,2.9802322387695312e-08,2.9802322387695312e-08
A,319376f14ac644759cc5f8fae239d6be,0.09834654629230499,0.09834673255681992,0.09834673255681992,-1.862645149230957e-07,-1.862645149230957e-07
A,31aa0fb227cb47b1897084a9d23aa10f,0.010670226067304611,0.010670222342014313,0.010670206509530544,3.725290298461914e-09,1.955777406692505e-08
A,322dc0a758414cd2932ad3bd3d78c678,0.08988825231790543,0.08988826721906662,0.08988828957080841,-1.4901161193847656e-08,-3.725290298461914e-08
A,3338cda4fe694bc8869b7c587c078246,0.2822725772857666,0.28224384784698486,0.2822565734386444,2.872943878173828e-05,1.6003847122192383e-05
A,3354476a318444a88d29eb0105f69289,0.04074526205658913,0.040745269507169724,0.040745269507169724,-7.450580596923828e-09,-7.450580596923828e-09
B,00f7c6d95b7d4c359681cc3b93f8a077,0.0020098949316889048,0.0020099005196243525,0.002009895397350192,-5.587935447692871e-09,-4.656612873077393e-10
B,00ff6c772dce4e84bf66544ada6093a0,0.01745077222585678,0.01745084673166275,0.017450621351599693,-7.450580596923828e-08,1.5087425708770752e-07
B,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741322956979275,0.0001474132004659623,0.00014741322956979275,2.9103830456733704e-11,0.0
B,0109cde49c664b408e6a95a82d235070,0.20014144480228424,0.20014142990112305,0.2001413106918335,1.4901161193847656e-08,1.341104507446289e-07
B,01f2d9c189f5404c97f696d022b0ad81,0.0008753535221330822,0.0008753535221330822,0.0008753535221330822,0.0,0.0
B,024bfdbc8f1c4a75bdbaaecb905e04e8,0.06590600311756134,0.06590600311756134,0.06590601056814194,0.0,-7.450580596923828e-09
B,027e8e8787bf40689bdd8e795636a106,0.02863602712750435,0.028636060655117035,0.02863592654466629,-3.3527612686157227e-08,1.0058283805847168e-07
B,02c1619333c74000886bee7b9667e1d6,0.00014787998225074261,0.00014788001135457307,0.00014787999680265784,-2.9103830456733704e-11,-1.4551915228366852e-11
B,02fc000a981e416386d8cc51c858de5b,0.18143807351589203,0.18143810331821442,0.18143819272518158,-2.9802322387695312e-08,-1.1920928955078125e-07
B,03ba54375bcb45d1a92a5dcb9e8e3a59,0.05150575190782547,0.05150578171014786,0.05150563269853592,-2.9802322387695312e-08,1.1920928955078125e-07
B,0437089225fb4b8496c6c4a824d370e6,0.08087321370840073,0.08087323606014252,0.08087334781885147,-2.2351741790771484e-08,-1.341104507446289e-07
B,048002dcad254cf8b57d51d84ad84435,0.07422249019145966,0.07422256469726562,0.07422246783971786,-7.450580596923828e-08,2.2351741790771484e-08
B,04dbe2471a134bd68f5b8d8d4af95aae,0.042601753026247025,0.04260198026895523,0.042601972818374634,-2.2724270820617676e-07,-2.1979212760925293e-07
B,04e43ff1195e45029a03b6cdc53f9aa8,0.0001469881972298026,0.0001469881972298026,0.00014698818267788738,0.0,1.4551915228366852e-11
B,04e5ee9a0baa446e9ab973cce0153bc8,0.00014720352191943675,0.00014720350736752152,0.00014720350736752152,1.4551915228366852e-11,1.4551915228366852e-11
B,05703932eb2c45c0918d4f91c875d064,0.01978990249335766,0.0197899267077446,0.01978997327387333,-2.421438694000244e-08,-7.078051567077637e-08
B,060c9e87a01b4fd08f87578d63e4961e,0.03471045941114426,0.03471064940094948,0.03471027687191963,-1.8998980522155762e-07,1.825392246246338e-07
