domain,scene,N,normal_ang_mae,normal_ang_median,normal_ang_p90,normal_ang_mae_obs,normal_ang_median_obs,obs_frac
real,00f7c6d95b7d4c359681cc3b93f8a077,1,29.869988116894074,27.814201761889887,48.16955665428718,28.208015488183815,25.33226850386653,0.8270880361173815
real,00ff6c772dce4e84bf66544ada6093a0,1,31.59960242325192,20.00649443987093,85.38505227897966,31.55456115902478,19.947404610711548,0.9962546816479401
real,00f7c6d95b7d4c359681cc3b93f8a077,2,29.951848593244314,28.245843830451683,48.6586955952736,28.163943551756244,25.346636990697995,0.8270880361173815
real,00ff6c772dce4e84bf66544ada6093a0,2,31.578169681115718,20.008611411011465,86.7631711928787,31.527975951426583,19.9093671989125,0.9962546816479401
real,00f7c6d95b7d4c359681cc3b93f8a077,3,29.934638861580396,28.356637574322207,47.68846261666317,28.075958118761534,26.091259173936482,0.8270880361173815
real,00ff6c772dce4e84bf66544ada6093a0,3,31.544131712397935,20.11212599100971,86.58267333694756,31.505480955165446,20.05335317374058,0.9962546816479401
real,00f7c6d95b7d4c359681cc3b93f8a077,5,29.901029864078396,28.147600228645125,48.35929678066432,28.077568626317824,25.306333520766998,0.8270880361173815
real,00ff6c772dce4e84bf66544ada6093a0,5,31.576372810312908,20.064464220274296,86.81497933872735,31.526098977051042,19.9415650985352,0.9962546816479401
analytic,00f7c6d95b7d4c359681cc3b93f8a077,1,7.160915223089116,3.0803933741208307,6.409268441239121,5.105894051177061,3.0259509029380443,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,1,21.276212747907547,4.924526546928996,88.70309262182867,21.276212747907547,4.924526546928996,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,2,6.3966867303043005,2.6101551459654195,6.130215378847617,4.245760215392125,2.5658563564606656,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,2,22.89001728241193,5.215000097432289,81.83935208348115,22.89001728241193,5.215000097432289,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,3,6.286402337952147,2.437886688618206,6.486234994133224,4.13981678545299,2.389363116651632,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,3,20.902815516134012,4.239067781773548,82.86357676272674,20.902815516134012,4.239067781773548,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,5,6.506721940970025,1.7676464813360102,7.36381152522461,4.192292210344465,1.7238000362965897,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,5,20.303893586837713,3.5015737345398046,80.00964025622048,20.303893586837713,3.5015737345398046,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,7,6.222655022063666,1.701389123392407,6.710006356932967,4.1185413740860355,1.670120374858077,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,7,19.17742085073018,2.8350983138934724,67.7499381908411,19.17742085073018,2.8350983138934724,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,10,5.997098509096894,0.9579678409282366,5.0348403011904095,4.515103765467217,0.9412706809430256,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,10,21.662681041263074,4.477016033365423,77.18248295639349,21.662681041263074,4.477016033365423,1.0
analytic,00f7c6d95b7d4c359681cc3b93f8a077,15,4.655667718479699,0.7719697234532817,3.288454796677549,1.952104366971562,0.7578517483294489,0.9760722347629797
analytic,00ff6c772dce4e84bf66544ada6093a0,15,17.995017971066865,2.671652231446783,69.56655349675607,17.995017971066865,2.671652231446783,1.0
