scene,N,n_runs,n_subsets,n_seeds,n_renders,err_mean,err_median,sigma_solver,sigma_render,sigma_repeat,sigma_subset,R_signal,cv_solver,sh_gram_rank,normal_cov_eff_rank,conv_finite_rate,old_style_conv_rate,proj_grad_norm_median,tail_rel_change_median
conf_cube_axis,2,20,4,5,1,0.016013543028384397,0.0162415280938148,0.00034285180717947216,0.0,0.00034285180717947216,0.008681880918862751,25.32254675944601,0.021410115586023588,4.0,1.0035053491592407,1.0,0.0,1.4687508344650269,0.02349224651283965
conf_cube_axis,3,20,4,5,1,0.018970644241198854,0.00707270868588235,0.0002323869549099738,0.0,0.0002323869549099738,0.026474283227184602,113.92327610403382,0.01224981882298416,4.0,1.0035053491592407,1.0,0.0,1.7811610698699951,0.019778995135252303
conf_cube_axis,5,20,4,5,1,0.003023218759335525,0.00306275871116665,3.927666805961374e-06,0.0,3.927666805961374e-06,0.00012881816237153275,32.79762992523037,0.0012991672514048036,4.0,1.0035053491592407,1.0,0.0,2.000947058200836,0.01511331591917715
conf_cube_axis,8,20,4,5,1,0.0030277109122834748,0.0030603359919041,4.606071790583507e-06,0.0,4.606071790583507e-06,0.00012351771338978845,26.81628055435518,0.0015213050135984235,4.0,1.0035053491592407,1.0,0.0,1.9289774894714355,0.0142610344037857
conf_prism8,2,20,4,5,1,0.009125263674650285,0.0073915134416893,0.0005369518393058926,0.0,0.0005369518393058926,0.00725251960701305,13.506834460960677,0.05884233688474439,5.0,1.1762902736663818,1.0,0.0,2.038695752620697,0.02761585262477205
conf_prism8,3,20,4,5,1,0.009204997273627603,0.0032261313172057,0.0004368276337321463,0.0,0.0004368276337321463,0.01208156158179115,27.657502980224265,0.04745548757343593,5.0,1.1762902736663818,1.0,0.0,2.477419376373291,0.01618735879965005
conf_prism8,5,20,4,5,1,0.00327102427836503,0.0032057310454546998,5.686370981717583e-06,0.0,5.686370981717583e-06,0.00017026118525285882,29.94197631499431,0.0017384068407342505,5.0,1.1762902736663818,1.0,0.0,2.3954955339431763,0.01471241737788805
conf_prism8,8,20,4,5,1,0.0032461067778057897,0.0032494626939296497,3.462390389576702e-06,0.0,3.462390389576702e-06,4.170903676078546e-05,12.046312537820047,0.0010666286190120675,5.0,1.1762902736663818,1.0,0.0,2.347987651824951,0.014895379529357551
conf_cylinder_r03_d12,2,20,4,5,1,0.020790849765762627,0.0068048536777495505,0.0007880825976891786,0.0,0.0007880825976891786,0.029421393719691012,37.332880850256856,0.037905261524565255,6.0,1.204194188117981,1.0,0.0,2.0664605498313904,0.0580683915157713
conf_cylinder_r03_d12,3,20,4,5,1,0.00406096664955835,0.00415266258642075,1.3866405042244905e-05,0.0,1.3866405042244905e-05,0.00023978884919929297,17.292791352103205,0.0034145577245144193,6.0,1.204194188117981,1.0,0.0,2.77020800113678,0.046588670663595746
