scene,P_full,G1_rank_wI,G2_logdet_wI,G3_effrank_wI,G4_cond_wI,G5_mineig_wI,G1_rank_resamp0,G2_logdet_resamp0,G3_effrank_resamp0,G4_cond_resamp0,G5_mineig_resamp0,G1_rank_resamp1,G2_logdet_resamp1,G3_effrank_resamp1,G4_cond_resamp1,G5_mineig_resamp1,G1_rank_resamp2,G2_logdet_resamp2,G3_effrank_resamp2,G4_cond_resamp2,G5_mineig_resamp2,G1_rank_resamp3,G2_logdet_resamp3,G3_effrank_resamp3,G4_cond_resamp3,G5_mineig_resamp3,G1_rank_resamp4,G2_logdet_resamp4,G3_effrank_resamp4,G4_cond_resamp4,G5_mineig_resamp4,G1_rank_mesh05,G2_logdet_mesh05,G3_effrank_mesh05,G4_cond_mesh05,G5_mineig_mesh05,G1_rank_mesh025,G2_logdet_mesh025,G3_effrank_mesh025,G4_cond_mesh025,G5_mineig_mesh025,G1_rank_rot10,G2_logdet_rot10,G3_effrank_rot10,G4_cond_rot10,G5_mineig_rot10,G1_rank_rot30,G2_logdet_rot30,G3_effrank_rot30,G4_cond_rot30,G5_mineig_rot30,G1_rank_rot45,G2_logdet_rot45,G3_effrank_rot45,G4_cond_rot45,G5_mineig_rot45,G1_rank_scale73,G2_logdet_scale73,G3_effrank_scale73,G4_cond_scale73,G5_mineig_scale73,G1_rank_wa2,G2_logdet_wa2,G3_effrank_wa2,G4_cond_wa2,G5_mineig_wa2,n_face
conf_cone_r04_d12,2906,9.0,-8.897253036499023,2.3851518630981445,6968401.5,6.456090773099277e-08,9.0,-8.939074516296387,2.3814380168914795,14315574.0,3.1505514641594345e-08,9.0,-8.84122085571289,2.3956053256988525,8740577.0,5.119404278275397e-08,9.0,-8.945757865905762,2.382448434829712,10770393.0,4.182796331519967e-08,9.0,-8.831043243408203,2.4139835834503174,7884539.5,5.6287721150738435e-08,9.0,-8.926749229431152,2.3992760181427,7625936.0,5.855527618336964e-08,9.0,-9.203446388244629,2.330375909805298,17099354.0,2.7014666059699266e-08,9.0,-8.953230857849121,2.3913440704345703,10430357.0,4.287578647677037e-08,8.0,-9.973188401528212,2.3851381897475092,5792365857.72226,7.766880728850906e-11,8.0,-9.973188359448889,2.3851381897475084,5792363654.553908,7.76688368304143e-11,8.0,-9.973188505074582,2.3851381897475026,5792371181.189435,7.76687359071467e-11,8.0,-1.3045530253156232,2.358299823254972,7128660347.314713,4.2244516019793783e-07,8.0,-3.2924266227456966,2.358299823255025,7128611876.152728,5.7869593510084314e-08,
conf_cube_axis,13406,4.0,-8.421436309814453,1.6683721542358398,162121360.0,3.543233040304017e-09,5.0,-7.624117851257324,1.6540851593017578,2614497.25,2.215730745547262e-07,5.0,-7.622673034667969,1.6862238645553589,1896175.125,2.990800851421227e-07,5.0,-7.6700029373168945,1.6465792655944824,2579805.0,2.2483341410861613e-07,5.0,-8.077913284301758,1.672800064086914,18099830.0,3.158571360017959e-08,5.0,-7.456463813781738,1.6674402952194214,1300299.25,4.4221317807568994e-07,5.0,-7.563179969787598,1.6829321384429932,2198546.0,2.5934258474080707e-07,5.0,-7.567205905914307,1.6474155187606812,2098495.25,2.768264835140144e-07,5.0,-8.22826039105259,1.668367442518561,75356121.51225321,7.622928806409499e-09,5.0,-8.228260401181654,1.6683674425185657,75356125.39636979,7.622928413497263e-09,5.0,-8.228260392326924,1.6683674425185544,75356121.9730248,7.62292875979844e-09,5.0,2.111932906668752,1.6657889017530667,75225251.40744978,0.0002364912712555741,5.0,0.12405858221225632,1.6657889017531182,75225242.5500369,3.239606837003995e-05,
conf_cube_plus_cone,4891,9.0,-6.554062843322754,2.3142967224121094,267622.28125,1.8292972754352377e-06,9.0,-6.550081729888916,2.295802593231201,277539.0625,1.787975861589075e-06,9.0,-6.578878402709961,2.3111023902893066,266778.25,1.8300249848834937e-06,9.0,-6.532938480377197,2.313340902328491,257098.875,1.913231017169892e-06,9.0,-6.504734992980957,2.3354291915893555,235564.265625,2.068103867713944e-06,9.0,-6.49282693862915,2.299189805984497,230660.46875,2.141711775038857e-06,9.0,-6.5332536697387695,2.2750401496887207,261092.390625,1.9079479898209684e-06,9.0,-6.4576897621154785,2.3467187881469727,230719.296875,2.1244329673208995e-06,9.0,-6.581855393982911,2.3142871625161034,350593.9383481003,1.3963759651029533e-06,9.0,-6.581855393993064,2.3142871625160977,350593.9383675184,1.3963759650256152e-06,9.0,-6.581855393971511,2.3142871625161114,350593.938309494,1.3963759652567175e-06,9.0,2.7025905800612016,2.3059684915324534,384010.8303325719,0.014299555900629419,9.0,0.7147162316378557,2.30596849153208,384010.8312441958,0.0019588432694085693,
conf_cyl_plus_sphere,3722,9.0,-4.615173816680908,3.248321294784546,6359.451171875,6.297899381024763e-05,9.0,-4.600233554840088,3.2537753582000732,6551.43115234375,6.120352918514982e-05,9.0,-4.629354000091553,3.2658019065856934,6902.99609375,5.755999154644087e-05,9.0,-4.623082160949707,3.2203588485717773,6893.67333984375,5.895112917642109e-05,9.0,-4.609724521636963,3.2639825344085693,6413.86376953125,6.210729770828038e-05,9.0,-4.635019779205322,3.2442829608917236,6606.85498046875,6.048071008990519e-05,9.0,-4.6188883781433105,3.257725954055786,6405.11181640625,6.207557453308254e-05,9.0,-4.709498882293701,3.1367578506469727,7561.3857421875,5.421490641310811e-05,9.0,-4.615735736438415,3.248306762476073,6391.606716845879,6.266216304535648e-05,9.0,-4.615735736438422,3.248306762476071,6391.606716846042,6.266216304535486e-05,9.0,-4.615735736438406,3.248306762476071,6391.606716844767,6.266216304536741e-05,9.0,4.38587731670421,3.2017401046442764,7481.17589311467,0.45999949041455274,9.0,2.3980029685497097,3.201740104644257,7481.175893122371,0.06301362882384641,
conf_cylinder_r03_d12,4080,6.0,-6.141489505767822,2.355930805206299,2446993.75,1.8417432556816493e-07,6.0,-6.113641262054443,2.346264600753784,2124262.75,2.1366393809785222e-07,6.0,-6.1115264892578125,2.371978759765625,2070546.125,2.148724149719783e-07,6.0,-6.123315811157227,2.345916509628296,2094952.75,2.16443069689376e-07,6.0,-6.1273674964904785,2.3660902976989746,2413122.5,1.8618858632635238e-07,6.0,-6.155130386352539,2.3457295894622803,2297704.25,1.9634526893241855e-07,6.0,-6.138669490814209,2.3500618934631348,2204117.25,2.0458816152313375e-07,6.0,-6.21699333190918,2.3300302028656006,3060531.5,1.4838811068784707e-07,5.0,-4.268643419726624,2.35591915004959,10036.958087240408,4.490139052612773e-05,5.0,-4.268643419726416,2.355919150049591,10036.958087229841,4.4901390526175e-05,5.0,-4.268643419726514,2.3559191500495897,10036.958087234498,4.490139052615418e-05,5.0,4.87685593737548,2.354042805623695,10103.144460745003,0.41966937072116867,5.0,2.8889815892179485,2.3540428056237053,10103.144460913038,0.05748895489235447,
conf_cylinder_r06_d06,5084,6.0,-6.418750286102295,2.1362905502319336,2008453.25,2.458635322000191e-07,6.0,-6.529544830322266,2.1154370307922363,3229635.25,1.5453082369276672e-07,6.0,-6.493061542510986,2.1338894367218018,2906137.0,1.6970625438261777e-07,6.0,-6.520898342132568,2.1326098442077637,3289986.5,1.501234976331034e-07,6.0,-6.471104145050049,2.139522075653076,2942490.25,1.6760215260092082e-07,6.0,-6.561439037322998,2.1026089191436768,3100829.75,1.6106157829653966e-07,6.0,-6.51295280456543,2.109708070755005,2951839.75,1.6902299648791086e-07,6.0,-6.550853252410889,2.113980293273926,3071503.25,1.6167500405117607e-07,5.0,-4.657602528991588,2.1362823780328815,25017.126420438723,1.9738695285194924e-05,5.0,-4.657602528991606,2.1362823780328806,25017.126420438763,1.973869528519487e-05,5.0,-4.657602528991047,2.136282378032882,25017.126420370147,1.9738695285249025e-05,5.0,4.70587587247789,2.1335363532345837,25309.34009322603,0.22882372484686234,5.0,2.7180015243462874,2.133536353234666,25309.340090394595,0.031345715735954155,
conf_egg,4156,9.0,-4.417978286743164,3.764472484588623,9759.76171875,3.7715981306973845e-05,9.0,-4.436103820800781,3.755326986312866,10377.328125,3.5484874388203025e-05,9.0,-4.4110870361328125,3.791966676712036,9535.265625,3.81706740881782e-05,9.0,-4.416989326477051,3.7706687450408936,9703.0029296875,3.794039730564691e-05,9.0,-4.417713642120361,3.7481393814086914,9752.4755859375,3.7937290471745655e-05,9.0,-4.41572380065918,3.749410390853882,9823.5771484375,3.775350342039019e-05,9.0,-4.45840311050415,3.7003185749053955,10790.119140625,3.4648834116524085e-05,9.0,-4.432577133178711,3.770001173019409,10664.5673828125,3.451317752478644e-05,9.0,-4.418567493209418,3.764461759126908,9811.592777241136,3.751673807728924e-05,9.0,-4.418567493209592,3.7644617591269065,9811.592777256647,3.7516738077229906e-05,9.0,-4.418567493209523,3.7644617591269065,9811.592777250258,3.751673807725434e-05,9.0,4.702737950759161,3.721751047823656,11084.799740583421,0.31925644707222656,9.0,2.714863602603905,3.7217510478236364,11084.799740672295,0.04373375987255701,
conf_ellipsoid_x13z07,2750,9.0,-4.018150329589844,4.673766136169434,3303.174072265625,8.175839320756495e-05,9.0,-4.022003173828125,4.65510368347168,3308.487060546875,8.245649951277301e-05,9.0,-4.011198043823242,4.687204360961914,3281.87353515625,8.213591354433447e-05,9.0,-4.0184197425842285,4.665481090545654,3349.879150390625,8.124957821564749e-05,9.0,-4.004544258117676,4.709813117980957,3143.467529296875,8.460718527203426e-05,9.0,-4.022552490234375,4.669800281524658,3300.414306640625,8.128781337291002e-05,9.0,-4.016042709350586,4.679643630981445,3236.431396484375,8.285248622996733e-05,9.0,-4.024594306945801,4.644660472869873,3212.658203125,8.429336594417691e-05,9.0,-4.018383926788577,4.673756713002838,3310.0951562450714,8.158742217088483e-05,9.0,-4.0183839267886565,4.673756713002837,3310.0951562477294,8.158742217081934e-05,9.0,-4.0183839267885935,4.673756713002839,3310.095156245811,8.158742217086661e-05,9.0,4.696833410501898,4.6282775981579185,3660.4420508523826,0.46901194162362275,9.0,2.708959062348695,4.628277598157958,3660.442050814083,0.06424821118199062,
conf_ellipsoid_z06,3704,9.0,-4.12752628326416,4.4472737312316895,4222.16552734375,6.781545380363241e-05,9.0,-4.146816730499268,4.407087802886963,4390.54296875,6.594777369173244e-05,9.0,-4.130603313446045,4.421143054962158,4216.94189453125,6.86225394019857e-05,9.0,-4.1280412673950195,4.433372497558594,4138.2548828125,6.983084313105792e-05,9.0,-4.129693984985352,4.454263687133789,4406.93212890625,6.500350718852133e-05,9.0,-4.135617733001709,4.431155681610107,4280.87451171875,6.704072438878939e-05,9.0,-4.15404748916626,4.393365383148193,4603.0419921875,6.325791764538735e-05,9.0,-4.1421661376953125,4.381829738616943,4363.30859375,6.761770782759413e-05,9.0,-4.127826246683457,4.4472644233046426,4233.627281120719,6.763185050365869e-05,9.0,-4.127826246683573,4.447264423304638,4233.627281125047,6.763185050358953e-05,9.0,-4.127826246683462,4.447264423304644,4233.627281121113,6.763185050365241e-05,9.0,4.891090315296318,4.411244738812829,4647.5500396616635,0.52768929111157,9.0,2.9032159671422164,4.41124473881283,4647.550039651567,0.0722862042620159,
conf_hemisphere_sq,4610,9.0,-4.246476173400879,4.220210075378418,6884.8466796875,4.6193523303372785e-05,9.0,-4.237572193145752,4.250216484069824,6807.00390625,4.6207245759433135e-05,9.0,-4.259859085083008,4.206986427307129,7246.81396484375,4.400476973387413e-05,9.0,-4.276780128479004,4.141495704650879,7243.61083984375,4.4886783143738285e-05,9.0,-4.242408275604248,4.2263898849487305,6755.1044921875,4.7260291466955096e-05,9.0,-4.257523059844971,4.199798583984375,7007.03271484375,4.573626210913062e-05,9.0,-4.25198221206665,4.208912372589111,6866.025390625,4.649458423955366e-05,9.0,-4.267816066741943,4.183681011199951,7099.61572265625,4.497999179875478e-05,9.0,-4.247002376237062,4.2201983667989404,6917.499474952941,4.597546628601199e-05,9.0,-4.247002376236999,4.220198366798944,6917.499474948963,4.597546628603839e-05,9.0,-4.247002376236979,4.220198366798942,6917.499474947558,4.5975466286047743e-05,9.0,4.990715689373158,4.184779862466835,7563.723555727269,0.4483468541172409,9.0,3.0028413412186548,4.1847798624668275,7563.7235557391095,0.06141737727623821,
