scene,N,G,n,beta_G,se,r,p,boot_ci_lo,boot_ci_hi
A_cylinder,3.0,6.0,20,-0.881738422179118,0.060700978982503415,-0.9598949567706384,2.2034452620001194e-11,-1.009180068095262,-0.8064592821962671
A_cylinder,5.0,6.0,20,-0.026752969215582605,0.07069043462027792,-0.08884931412648948,0.7095210568238791,-0.166530065352161,0.20782599288182574
A_prism16,3.0,2.1570327281951904,20,-0.532143712130369,0.11828276340586744,-0.7275240534156239,0.00027766507288241464,-0.6765133169952202,-0.2188649517074389
A_prism16,5.0,2.1570327281951904,20,-0.516653579170836,0.0735164507718294,-0.8560922302532411,1.4733106692947944e-06,-0.5971241943764228,0.16153572288986523
A_prism32,3.0,2.1376614570617676,20,-0.7214095668897859,0.10171050982624195,-0.858187319227042,1.3015284259733783e-06,-1.0786419479612994,-0.5593891913423401
A_prism32,5.0,2.1376614570617676,20,-0.3668569324905183,0.06983241843686308,-0.77797607353457,5.382581465714236e-05,-0.46833481967634305,-0.14591973001904168
A_prism4,3.0,5.0,20,0.018204235909298202,0.01006965321373233,0.3920053690848428,0.08737335187064789,-0.005815356264743943,0.046164226722030285
A_prism4,5.0,5.0,20,-0.004980135200660596,0.0033053415078381177,-0.33465444077407985,0.14923829928388602,-0.012381594539002293,0.0009053900347224856
A_prism8,3.0,5.0,40,-0.645941734248269,0.10250291132427941,-0.7148501462135176,2.1968761526892315e-07,-0.9862492553672031,-0.3859825776126166
A_prism8,5.0,5.0,40,-0.3292017174898476,0.03905083180183798,-0.8072100218541681,3.135744742710496e-10,-0.45807123988266785,-0.06920017302224526
B_bevel05,3.0,2.5565943717956543,40,-0.1279868791585904,0.037594143465894,-0.483445335265647,0.0015768411087483168,-0.23102709366548677,-0.07277605371886132
B_bevel05,5.0,2.5565943717956543,40,-0.1400699517664234,0.02677147239603082,-0.6470959608253669,6.4174343645570905e-06,-0.24651671928048013,-0.11288183486675105
B_bevel15,3.0,5.0,20,0.04000063414464478,0.054339930145077986,0.17095075669152232,0.47114355167077504,-0.04626973757830057,0.2598616307494281
B_bevel15,5.0,5.0,20,0.1046836276262332,0.05385658945609762,0.416513774714954,0.06772805183345187,0.012520390691131877,0.1748173077572132
B_cube,3.0,5.0,20,-0.9130307427676051,0.13384433088670755,-0.8491628065986985,2.1906506422653415e-06,-1.9434422274504404,-0.6416739921354536
B_cube,5.0,5.0,20,-0.4536152967305768,0.06134882311839642,-0.8673585631796503,7.384747076810754e-07,-0.5702145259223326,-0.07109163789177567
