scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"0,7,23",2107483888,-5.816446734895677
A_cylinder,3,"3,24,25",691734458,-6.092788459812886
A_cylinder,3,"5,12,14",827020780,-5.836487028383087
A_cylinder,3,"13,14,25",1448354046,-5.931392243714261
A_cylinder,3,"1,26,27",68782638,-6.275741652248745
A_cylinder,3,"7,22,26",1764717675,-6.218101363535368
A_cylinder,3,"7,10,22",1617376588,-6.123010024787967
A_cylinder,3,"16,25,26",62036348,-6.058950569604897
A_cylinder,3,"3,11,22",979097944,-5.995148576109781
A_cylinder,3,"2,6,8",392195514,-5.903420320336125
A_cylinder,3,"8,15,23",1726348188,-5.916145778962309
A_cylinder,3,"0,10,21",1787145840,-5.9131756755245775
A_cylinder,3,"7,8,10",1236332071,-5.864428643665594
A_cylinder,3,"13,23,26",1823892243,-5.966690344590096
A_cylinder,3,"8,22,28",2124308142,-5.878039741727067
A_cylinder,3,"6,12,16",1627801268,-6.070433081419963
A_cylinder,3,"1,10,19",1055773512,-6.136907057155021
A_cylinder,3,"6,13,22",109019469,-5.888482012082539
A_cylinder,3,"18,21,26",900997353,-6.02258701029609
A_cylinder,3,"14,18,28",1737658649,-6.155639054615142
A_cylinder,3,"18,21,29",1705200169,-6.081601038097583
A_cylinder,3,"10,12,16",789895082,-6.0266878984489685
A_cylinder,3,"0,10,25",986022534,-5.870060905735678
A_cylinder,3,"14,16,28",342282680,-6.112904418790197
A_cylinder,3,"1,2,11",1277142032,-6.238821135735658
A_cylinder,3,"1,12,25",439207864,-7.266481998694913
A_cylinder,3,"3,19,20",299655309,-6.050295469976397
A_cylinder,3,"6,14,15",1123140083,-7.084011451247613
A_cylinder,3,"11,22,26",2009694234,-6.274818682525451
A_cylinder,3,"20,25,31",362473231,-6.688849536684447
A_cylinder,3,"4,23,29",154538170,-6.3451046548301315
A_cylinder,3,"2,10,15",491451347,-6.200845681162438
A_cylinder,3,"0,9,26",138649285,-5.878365247356254
A_cylinder,3,"19,24,29",371848450,-6.404448097357807
A_cylinder,3,"9,12,19",1547423588,-7.106656960955238
A_cylinder,3,"3,9,11",688296395,-5.948303021025929
A_cylinder,3,"1,16,23",127706602,-6.102682312533545
A_cylinder,3,"14,21,27",2034396127,-6.079270558381387
A_cylinder,3,"12,13,20",1902277066,-5.88151023136516
A_cylinder,3,"7,14,29",550463322,-6.295881421875088
A_cylinder,3,"1,4,14",1789642705,-7.611133761882624
A_cylinder,3,"10,14,20",1687012404,-6.199290049268067
A_cylinder,3,"5,21,26",746597354,-5.901685785174359
A_cylinder,3,"5,14,18",815651267,-5.8452619334922975
A_cylinder,3,"10,17,29",1121780528,-6.2349006520606505
A_cylinder,3,"0,9,30",374031951,-5.7921087099301305
A_cylinder,3,"4,8,11",51725465,-5.89206761805048
A_cylinder,3,"12,19,31",123375674,-6.756445760231688
A_cylinder,3,"5,23,29",1695595254,-5.950621858319169
A_cylinder,3,"1,11,19",1914170674,-6.358316548729796
A_cylinder,3,"3,18,19",1198003753,-6.013350773002383
A_cylinder,3,"5,7,12",48632525,-5.8301503751058465
A_cylinder,3,"2,23,28",332332974,-6.532159943329993
A_cylinder,3,"3,7,31",1386391878,-6.0583703461698075
A_cylinder,3,"6,23,25",1055535264,-6.891747513964254
A_cylinder,3,"6,9,11",1422516572,-6.278839373509307
A_cylinder,3,"1,12,17",1822194104,-7.616138219754542
A_cylinder,3,"5,17,23",556372892,-5.9241508645202225
A_cylinder,3,"1,19,25",1218283772,-7.248305702279317
A_cylinder,3,"0,24,29",552560706,-5.9260965315905025
A_cylinder,3,"5,17,31",1576654168,-5.95849309286885
A_cylinder,3,"18,30,31",1027846609,-6.238631443734865
A_cylinder,3,"5,21,27",1005297539,-5.906731808079146
A_cylinder,3,"0,7,24",1565540144,-5.822425119668449
A_cylinder,3,"5,6,22",1107407471,-5.832640332886156
A_cylinder,3,"22,24,27",722010640,-6.644655025525268
A_cylinder,3,"12,19,26",295906611,-6.203135716186649
A_cylinder,3,"1,16,23",1136432268,-6.09852085010787
A_cylinder,3,"14,22,23",1126788465,-6.787264969841263
A_cylinder,3,"3,20,28",170243386,-6.027289824444266
A_cylinder,3,"7,8,20",1774032385,-5.869179000551359
A_cylinder,3,"8,14,22",784099465,-5.869111526283968
A_cylinder,3,"8,20,30",163826487,-5.89184778586961
A_cylinder,3,"5,18,25",120508488,-5.874822357871969
A_cylinder,3,"2,16,26",1220872558,-6.062805426696982
A_cylinder,3,"5,22,27",1674968650,-5.874860421168246
A_cylinder,3,"20,23,30",334383242,-6.759915717382219
A_cylinder,3,"1,17,24",2040023761,-6.304254978607111
A_cylinder,3,"3,6,20",2118021291,-5.912317873008218
A_cylinder,3,"6,9,21",1523657316,-6.040741826768186
A_cylinder,3,"1,22,24",1811912042,-6.546751391715674
A_cylinder,3,"6,12,23",1441705978,-6.593801151051965
A_cylinder,3,"1,15,23",1745538374,-6.751770415988915
A_cylinder,3,"1,2,24",412780379,-6.3667482770941515
