scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cone_r04_d12,3,proxy_top,327,"0,14,30",0.00021890242351219058,0
conf_cone_r04_d12,3,proxy_top,163,"0,6,30",0.00021196817397139966,0
conf_cone_r04_d12,3,proxy_top,273,"0,11,30",0.00022548090782947838,0
conf_cone_r04_d12,3,proxy_top,324,"0,14,27",0.00021301614469848573,0
conf_cone_r04_d12,3,proxy_top,322,"0,14,25",0.0002151883381884545,0
conf_cone_r04_d12,3,proxy_top,174,"0,7,17",0.00021193349675741047,0
conf_cone_r04_d12,3,proxy_top,389,"0,19,22",0.0002153391542378813,0
conf_cone_r04_d12,3,proxy_top,319,"0,14,22",0.0002066529414150864,0
conf_cone_r04_d12,3,proxy_top,158,"0,6,25",0.00020802694780286402,0
conf_cone_r04_d12,3,proxy_top,284,"0,12,22",0.00021255329193081707,0
conf_cone_r04_d12,3,proxy_top,361,"0,17,19",0.00021245625976007432,0
conf_cone_r04_d12,3,proxy_top,268,"0,11,25",0.00022204330889508128,0
conf_cone_r04_d12,3,proxy_top,222,"0,9,20",0.00021617325546685606,0
conf_cone_r04_d12,3,proxy_top,397,"0,19,30",0.00022595380141865462,0
conf_cone_r04_d12,3,proxy_top,260,"0,11,17",0.00021235609892755747,0
conf_cone_r04_d12,3,proxy_top,214,"0,9,12",0.000208540543098934,0
conf_cone_r04_d12,3,proxy_top,427,"0,22,30",0.00022287452884484082,0
conf_cone_r04_d12,3,proxy_top,265,"0,11,22",0.00021393454517237842,0
conf_cone_r04_d12,3,proxy_top,168,"0,7,11",0.0002150014479411766,0
conf_cone_r04_d12,3,proxy_top,176,"0,7,19",0.00021634827135130763,0
conf_cone_r04_d12,3,proxy_top,276,"0,12,14",0.00020842973026446998,0
conf_cone_r04_d12,3,proxy_top,279,"0,12,17",0.0002108423796016723,0
conf_cone_r04_d12,3,proxy_top,140,"0,6,7",0.00020306621445342898,0
conf_cone_r04_d12,3,proxy_top,366,"0,17,24",0.0002301555941812694,0
conf_cone_r04_d12,3,proxy_top,392,"0,19,25",0.00022330110368784517,0
conf_cone_r04_d12,3,proxy_top,317,"0,14,20",0.00021640860359184444,0
conf_cone_r04_d12,3,proxy_top,270,"0,11,27",0.00021855752856936306,0
conf_cone_r04_d12,3,proxy_top,155,"0,6,22",0.0001992461329791695,0
conf_cone_r04_d12,3,proxy_top,221,"0,9,19",0.00021095972624607384,0
conf_cone_r04_d12,3,proxy_top,394,"0,19,27",0.0002195529523305595,0
conf_cone_r04_d12,3,proxy_top,421,"0,22,24",0.000232920705457218,0
conf_cone_r04_d12,3,proxy_top,75,"0,3,20",0.00024276183103211224,0
conf_cone_r04_d12,3,proxy_top,289,"0,12,27",0.00021769088925793767,0
conf_cone_r04_d12,3,proxy_top,160,"0,6,27",0.00020473789481911808,0
conf_cone_r04_d12,3,proxy_top,367,"0,17,25",0.00021707975247409195,0
conf_cone_r04_d12,3,proxy_top,281,"0,12,19",0.00021661889331880957,0
conf_cone_r04_d12,3,proxy_top,255,"0,11,12",0.00021600195032078773,0
