scene,N,rho,n,top10_overlap,top20_overlap,O_mean,A_mean,O_std,A_std,n_deficient_O,n_deficient_A,n_at_cutoff_O_med,n_at_cutoff_A_med
conf_sphere_r05,3,0.9999700478801914,500,1.0,0.99,-5.931550217587037,-5.931165818571391,0.1776618943044399,0.17762026947161913,11,11,0.0,0.0
conf_sphere_r05,5,0.99999711998848,500,1.0,1.0,-6.1373940279884245,-6.13704354998228,0.2879541200176042,0.2878765346819527,8,8,0.0,0.0
conf_cube_axis,3,1.0,500,1.0,1.0,-5.748830000726479,-5.748830000029883,0.23587458190571747,0.2358745819672965,500,500,0.0,0.0
conf_cube_axis,5,1.0,500,1.0,1.0,-6.077632030977273,-6.077632030272179,0.5598416551492441,0.5598416552745956,500,500,0.0,0.0
conf_prism8,3,0.9970118920475681,500,1.0,1.0,-5.822584198514049,-5.822513197700124,0.14326673114300398,0.1432770865124974,500,500,1.0,1.0
conf_prism8,5,0.999999711998848,500,1.0,1.0,-6.163360318604877,-6.163378387968053,0.36952879383929704,0.3695245922805352,500,500,1.0,1.0
conf_egg,3,0.9999399037596151,500,1.0,0.98,-5.925159120058428,-5.924885205162505,0.18815485706991059,0.1881381993015206,10,10,1.0,1.0
conf_egg,5,0.9999929919719677,500,1.0,1.0,-6.159939950489626,-6.159562591993327,0.3001002207363623,0.30010370495928923,13,13,0.0,0.0
conf_cylinder_r06_d06,3,0.9999951999807999,500,1.0,1.0,-5.7904018025827,-5.790413985026393,0.11619216536877784,0.11619145826436551,500,500,1.0,1.0
conf_cylinder_r06_d06,5,0.999999903999616,500,1.0,1.0,-6.030442451171602,-6.0304561971383706,0.28525831564861565,0.285256469448707,500,500,1.0,1.0
conf_ellipsoid_z06,3,0.9999664958659833,500,1.0,0.99,-5.971799698004549,-5.971860406249041,0.17846268937087414,0.17842616579074375,12,12,0.0,0.0
conf_ellipsoid_z06,5,0.9999879999519997,500,1.0,1.0,-6.110261705200803,-6.110326916917764,0.2436264328539674,0.24369899766640504,6,6,0.0,0.0
conf_sphere_r05,3,0.9999954559405252,4960,0.9979838709677419,0.998991935483871,-6.779375359513986,-6.779218748051573,0.42318847510094415,0.42318954032782524,1020,1018,3.0,3.0
conf_sphere_r05,5,0.9999939998499965,200,1.0,1.0,-6.588762701086771,-6.588500084284965,0.2724236940203622,0.27229475601726605,8,9,0.0,0.0
