scene,N,subset_id,subset_str,I_O,I_A
conf_two_spheres_row,3,0,"0,1,2",-6.338831897291949,-6.338712316863873
conf_two_spheres_row,3,1,"0,1,3",-6.476640621604718,-6.476446783671391
conf_two_spheres_row,3,2,"0,1,4",-6.369929725815227,-6.369486832582427
conf_two_spheres_row,3,3,"0,1,5",-6.402587716739599,-6.402324441106617
conf_two_spheres_row,3,4,"0,1,6",-6.417604669036745,-6.417348172358323
conf_two_spheres_row,3,5,"0,1,7",-6.316790867156137,-6.316514912923496
conf_two_spheres_row,3,6,"0,1,8",-6.4549070965089586,-6.454564208824311
conf_two_spheres_row,3,7,"0,1,9",-6.3840828215603995,-6.383556344695393
conf_two_spheres_row,3,8,"0,1,10",-6.358656662141261,-6.358543302233022
conf_two_spheres_row,3,9,"0,1,11",-6.44343856491936,-6.443218024870885
conf_two_spheres_row,3,10,"0,1,12",-6.329054626284891,-6.328662009494294
conf_two_spheres_row,3,11,"0,1,13",-6.402245844864213,-6.401890949724247
conf_two_spheres_row,3,12,"0,1,14",-6.393230059478145,-6.3928440469236305
conf_two_spheres_row,3,13,"0,1,15",-6.327012537344651,-6.326951040537029
conf_two_spheres_row,3,14,"0,1,16",-6.436673530001313,-6.436343802409676
conf_two_spheres_row,3,15,"0,1,17",-6.347564531049656,-6.3472518730786485
conf_two_spheres_row,3,16,"0,1,18",-6.36637929115076,-6.366187152039291
conf_two_spheres_row,3,17,"0,1,19",-6.412129895135977,-6.411926675829308
conf_two_spheres_row,3,18,"0,1,20",-6.31951441922779,-6.319233125146132
conf_two_spheres_row,3,19,"0,1,21",-6.397732219579656,-6.39737830179302
conf_two_spheres_row,3,20,"0,1,22",-6.366180569015445,-6.365709780175676
conf_two_spheres_row,3,21,"0,1,23",-6.3419506258615455,-6.341881373356411
conf_two_spheres_row,3,22,"0,1,24",-6.410930951547958,-6.41069824728958
conf_two_spheres_row,3,23,"0,1,25",-6.331427102308677,-6.3311115120500245
conf_two_spheres_row,3,24,"0,1,26",-6.369128804119609,-6.3688245635362914
conf_two_spheres_row,3,25,"0,1,27",-6.381707928244953,-6.381360621773074
conf_two_spheres_row,3,26,"0,1,28",-6.332561981033825,-6.332384626534612
conf_two_spheres_row,3,27,"0,1,29",-6.389674115373739,-6.389414880195137
conf_two_spheres_row,3,28,"0,1,30",-6.346320358971584,-6.345927249583681
conf_two_spheres_row,3,29,"0,1,31",-6.353282637592688,-6.353193452471219
conf_two_spheres_row,3,30,"0,2,3",-6.328051309924491,-6.32821998674222
conf_two_spheres_row,3,31,"0,2,4",-6.396659794701329,-6.396480959905757
conf_two_spheres_row,3,32,"0,2,5",-6.499450120258459,-6.499435381816932
conf_two_spheres_row,3,33,"0,2,6",-6.297614646560313,-6.297598856063275
conf_two_spheres_row,3,34,"0,2,7",-6.438717947985016,-6.438522602382717
conf_two_spheres_row,3,35,"0,2,8",-6.371449512786171,-6.371472236168954
conf_two_spheres_row,3,36,"0,2,9",-6.348853900746074,-6.348722577234037
conf_two_spheres_row,3,37,"0,2,10",-6.49781734905736,-6.497933674795593
conf_two_spheres_row,3,38,"0,2,11",-6.3022146971961615,-6.3024041746760515
conf_two_spheres_row,3,39,"0,2,12",-6.396097041090313,-6.3957908731396
conf_two_spheres_row,3,40,"0,2,13",-6.430871250824036,-6.430808609426528
conf_two_spheres_row,3,41,"0,2,14",-6.303361518395182,-6.30325253841781
conf_two_spheres_row,3,42,"0,2,15",-6.457544026977727,-6.457763063992014
conf_two_spheres_row,3,43,"0,2,16",-6.327023397474499,-6.327023335891366
conf_two_spheres_row,3,44,"0,2,17",-6.35500936121877,-6.354925964151444
conf_two_spheres_row,3,45,"0,2,18",-6.4627485535601625,-6.462767228965382
conf_two_spheres_row,3,46,"0,2,19",-6.297254158591049,-6.2974191277971165
conf_two_spheres_row,3,47,"0,2,20",-6.406482335694178,-6.406176773278376
conf_two_spheres_row,3,48,"0,2,21",-6.371577995437096,-6.371504198198722
conf_two_spheres_row,3,49,"0,2,22",-6.31681327781335,-6.316655109848729
conf_two_spheres_row,3,50,"0,2,23",-6.445512512776012,-6.445610861506242
conf_two_spheres_row,3,51,"0,2,24",-6.313306626987565,-6.313418884530204
conf_two_spheres_row,3,52,"0,2,25",-6.364444200436306,-6.36434254950642
conf_two_spheres_row,3,53,"0,2,26",-6.409216595599249,-6.409100701880197
conf_two_spheres_row,3,54,"0,2,27",-6.308860184035176,-6.308982610932236
conf_two_spheres_row,3,55,"0,2,28",-6.4106863057073875,-6.410724019093162
conf_two_spheres_row,3,56,"0,2,29",-6.342510438494126,-6.342514233284712
conf_two_spheres_row,3,57,"0,2,30",-6.337049267914835,-6.336929216679019
conf_two_spheres_row,3,58,"0,2,31",-6.41138033755169,-6.411509082173545
conf_two_spheres_row,3,59,"0,3,4",-6.42386099252272,-6.423688085817626
conf_two_spheres_row,3,60,"0,3,5",-6.370811703533479,-6.370770039452547
conf_two_spheres_row,3,61,"0,3,6",-6.500710820412106,-6.500552676317396
conf_two_spheres_row,3,62,"0,3,7",-6.338389425151276,-6.33833803080306
conf_two_spheres_row,3,63,"0,3,8",-6.513020994916945,-6.512890983133403
conf_two_spheres_row,3,64,"0,3,9",-6.439786952524563,-6.439467899450456
conf_two_spheres_row,3,65,"0,3,10",-6.323198998889102,-6.3233595092050745
conf_two_spheres_row,3,66,"0,3,11",-6.532785567251889,-6.532787404025898
conf_two_spheres_row,3,67,"0,3,12",-6.368436679489842,-6.368237180306222
conf_two_spheres_row,3,68,"0,3,13",-6.404610285394817,-6.404480760868173
