scene,N,P_c,P_ref,n_subsets,rho,top10_overlap,median_abs_shift
conf_sphere_r05,3,128,2048,100,0.9799,0.8,2.5663
conf_sphere_r05,3,256,2048,100,0.9894,0.8,1.9772
conf_sphere_r05,3,512,2048,100,0.9956,1.0,1.3452
conf_sphere_r05,3,1024,2048,100,0.9985,0.9,0.6798
conf_cube_axis,3,128,2048,100,0.9958,0.8,2.8004
conf_cube_axis,3,256,2048,100,0.9933,0.9,2.0984
conf_cube_axis,3,512,2048,100,0.9964,0.8,1.3898
conf_cube_axis,3,1024,2048,100,0.9989,0.9,0.693
conf_egg,3,128,2048,100,0.9806,0.5,2.548
conf_egg,3,256,2048,100,0.9902,0.8,1.9777
conf_egg,3,512,2048,100,0.9972,1.0,1.3452
conf_egg,3,1024,2048,100,0.9988,1.0,0.6777
