scene,config,near_zero,min_positive,light_spread,normal_spread,a2_mean
conf_sphere_r05,0,1,0.743033,1.339899,0.800638,0.314957
conf_sphere_r05,1,1,0.743033,1.548226,0.800638,0.314957
conf_sphere_r05,2,1,0.743033,1.805998,0.800638,0.314957
conf_sphere_r05,3,1,0.743033,1.270227,0.800638,0.314957
conf_sphere_r05,4,1,0.743033,0.537597,0.800638,0.314957
conf_cube_axis,0,6,1.448989,1.339899,0.827849,0.315973
conf_cube_axis,1,6,1.448989,1.548226,0.827849,0.315973
conf_cube_axis,2,6,1.448989,1.805998,0.827849,0.315973
conf_cube_axis,3,6,1.448989,1.270227,0.827849,0.315973
conf_cube_axis,4,6,1.448989,0.537597,0.827849,0.315973
conf_prism8,0,6,27.008945,1.339899,0.871647,0.315894
conf_prism8,1,6,27.008945,1.548226,0.871647,0.315894
conf_prism8,2,6,27.008945,1.805998,0.871647,0.315894
conf_prism8,3,6,27.008945,1.270227,0.871647,0.315894
conf_prism8,4,6,27.008945,0.537597,0.871647,0.315894
conf_egg,0,1,0.583057,1.339899,0.800734,0.314197
conf_egg,1,1,0.583057,1.548226,0.800734,0.314197
conf_egg,2,1,0.583057,1.805998,0.800734,0.314197
conf_egg,3,1,0.583057,1.270227,0.800734,0.314197
conf_egg,4,1,0.583057,0.537597,0.800734,0.314197
conf_cylinder_r06_d06,0,5,0.827013,1.339899,0.883831,0.315451
conf_cylinder_r06_d06,1,5,0.827013,1.548226,0.883831,0.315451
conf_cylinder_r06_d06,2,5,0.827013,1.805998,0.883831,0.315451
conf_cylinder_r06_d06,3,5,0.827013,1.270227,0.883831,0.315451
conf_cylinder_r06_d06,4,5,0.827013,0.537597,0.883831,0.315451
conf_ellipsoid_z06,0,1,0.794552,1.339899,0.72689,0.313674
conf_ellipsoid_z06,1,1,0.794552,1.548226,0.72689,0.313674
conf_ellipsoid_z06,2,1,0.794552,1.805998,0.72689,0.313674
conf_ellipsoid_z06,3,1,0.794552,1.270227,0.72689,0.313674
conf_ellipsoid_z06,4,1,0.794552,0.537597,0.72689,0.313674
conf_cone_r04_d12,0,5,2.460368,1.339899,0.844343,0.312592
conf_cone_r04_d12,1,5,2.460368,1.548226,0.844343,0.312592
conf_cone_r04_d12,2,5,2.460368,1.805998,0.844343,0.312592
conf_cone_r04_d12,3,5,2.460368,1.270227,0.844343,0.312592
conf_cone_r04_d12,4,5,2.460368,0.537597,0.844343,0.312592
conf_cube_plus_cone,0,4,1.653456,1.339899,0.776121,0.312933
conf_cube_plus_cone,1,4,1.653456,1.548226,0.776121,0.312933
conf_cube_plus_cone,2,4,1.653456,1.805998,0.776121,0.312933
conf_cube_plus_cone,3,4,1.653456,1.270227,0.776121,0.312933
conf_cube_plus_cone,4,4,1.653456,0.537597,0.776121,0.312933
conf_cyl_plus_sphere,0,2,1.766985,1.339899,0.816408,0.312851
