scene,light_idx,mean_lum,std_lum,grad_mag_mean,grad_mag_std,grad_entropy,highlight_frac,spec_low,spec_high,spec_smoothness
conf_sphere_r05,0,0.3354,0.4339,0.0118,0.0278,2.202,0.0,2030143.891,4.779,424832.97
conf_sphere_r05,1,0.2127,0.3929,0.0167,0.0509,2.43,0.0,883379.845,17.938,49245.566
conf_sphere_r05,2,0.3305,0.4584,0.0169,0.0489,2.562,0.0,1990799.758,17.358,114689.395
conf_sphere_r05,3,0.3754,0.4788,0.0151,0.0367,2.503,0.0,2530907.237,9.772,259004.411
conf_sphere_r05,4,0.2032,0.3848,0.0154,0.0474,2.351,0.0,820305.257,14.911,55013.247
conf_cube_axis,0,0.7925,0.3734,0.0128,0.0506,1.004,0.3055,10654174.553,58.33,182654.255
conf_cube_axis,1,0.2593,0.4375,0.0133,0.0979,0.435,0.0964,1374588.938,153.907,8931.316
conf_cube_axis,2,0.8147,0.3756,0.01,0.0435,1.341,0.3022,11241141.731,60.328,186334.121
conf_cube_axis,3,0.8259,0.3766,0.0098,0.0428,0.974,0.3346,11547518.397,62.021,186185.953
conf_cube_axis,4,0.3175,0.4048,0.0143,0.0951,1.024,0.0964,1893575.625,139.429,13580.938
conf_prism8,0,0.5557,0.4524,0.017,0.0871,0.907,0.0,5443638.334,59.923,90844.626
conf_prism8,1,0.3115,0.4524,0.0175,0.1055,0.485,0.0,1925852.951,94.468,20386.365
conf_prism8,2,0.5703,0.4733,0.0197,0.0946,1.179,0.0,5733963.777,72.234,79380.917
conf_prism8,3,0.6162,0.4838,0.0151,0.0863,0.923,0.0,6668137.875,59.764,111574.031
conf_prism8,4,0.3401,0.444,0.0181,0.0929,0.782,0.0,2230119.295,77.334,28837.602
